case_name,seed,face_x_idx,face_x_coord,borehole_name,Q_face_mean,Qp_face_mean,Q_bh_mean,Q_bh_median,Qp_bh_mean,Qp_bh_median,RQD_bh_mean,Jn_bh_mean,RQD_borehole_direct_mean,RQD_borehole_direct_median,RQD_borehole_hudson_mean,RQD_borehole_hudson_median,lambda_borehole_mean,borehole_n_intersections_sum,RQD_face_scanline,RQD_face_jv,RQD_face_conservative,lambda_face_scanline,face_scanline_n_intersections,Jv_face,Jv_method,Jr_bh_mean,Ja_bh_mean,Jw_bh_mean,SRF_bh_mean,Q_ratio_bh_to_face,Qp_ratio_bh_to_face,face_fracture_count,bh_fracture_count,common_fracture_count,missed_fracture_count,miss_ratio,detection_ratio,bh_window_length,bh_fracture_frequency,face_fracture_density,bh_union_fracture_frequency,common_fracture_density,missed_fracture_density,orientation_bias_bh,face_orientation_bias,orientation_bias_gap_to_face,Q_match_strict,Q_match_normal,Q_match_loose,Qp_match_strict,Qp_match_normal,Qp_match_loose
scenario_07_isotropic,40,10,10.5,Center,30.91629819073925,34.21567403854759,28.770599510648058,23.836641607583093,36.7025398512133,34.090909090909086,100.0,2.0,100.0,100.0,99.68282947904477,100.0,0.42857142857142855,3,100.0,100.0,100.0,0.7,7,2.0,P32_derived_Jv_proxy,1.490803405461072,2.076182347207234,0.8190682357572294,1.1443117334358373,0.9305965200991003,1.0726820640699346,129,3,0,129,1.0,0.0,7.0,0.42857142857142855,1.64247901270836,0.42857142857142855,0.0,1.64247901270836,0.4222598361314097,0.5279027938243266,0.10564295769291687,1,1,1,1,1,1
scenario_07_isotropic,40,20,20.5,Center,26.77454425888381,33.72553269361502,27.394841264277886,30.310497956731957,32.74815992344994,34.090909090909086,98.81694774140503,2.0,98.81694774140503,100.0,99.66579713139683,99.53211598395555,0.7142857142857143,5,99.38766001440553,100.0,99.38766001440553,0.7,7,2.0,P32_derived_Jv_proxy,1.4267151545133312,2.2453541872211624,0.7437915959255893,0.969117620128164,1.0231674160126278,0.9710197974026331,108,5,3,105,0.9722222222222222,0.027777777777777776,7.0,0.7142857142857143,1.3750987083139756,0.7142857142857143,0.03819718634205488,1.336901521971921,0.17851464521989047,0.5109515988890777,0.33243695366918724,1,1,1,1,1,1
scenario_07_isotropic,40,30,30.5,Center,30.288044270918004,34.55983209841077,39.86914861397315,36.51264560950755,34.13501537042071,34.090909090909086,99.95283596290389,2.0,99.95283596290389,100.0,99.48230775788286,99.53211598395555,0.8571428571428571,6,100.0,100.0,100.0,0.5,5,2.0,P32_derived_Jv_proxy,1.351360474724529,2.1099952368175927,0.8622720667942148,0.8314782712972022,1.3163328822869802,0.987707789587045,119,6,4,115,0.9663865546218487,0.03361344537815126,7.0,0.8571428571428571,1.5151550582348436,0.8571428571428571,0.05092958178940651,1.464225476445437,0.27545273907379475,0.4813276027636566,0.20587486368986185,0,1,1,1,1,1
scenario_07_isotropic,41,10,10.5,Center,30.860195704238215,35.677686019475566,32.706086702881365,27.220877947222217,36.58291546393989,34.090909090909086,100.0,2.0,100.0,100.0,99.5491483316035,99.53211598395555,0.7142857142857143,5,99.22320418720079,100.0,99.22320418720079,1.1,11,2.0,P32_derived_Jv_proxy,1.475585689091508,2.1445902537263812,0.8055916184226878,0.9860304434894659,1.0598146238712816,1.0253724258902381,130,5,3,127,0.9769230769230769,0.023076923076923078,7.0,0.7142857142857143,1.6552114081557114,0.7142857142857143,0.03819718634205488,1.6170142218136565,0.3901715864039199,0.5428496691158115,0.15267808271189154,1,1,1,1,1,1
scenario_07_isotropic,41,20,20.5,Center,28.465328895796866,34.24334911229244,27.451463652867734,26.063540272116587,29.57604608571637,34.090909090909086,100.0,2.0,100.0,100.0,99.79947827883811,100.0,0.42857142857142855,3,99.71434097075826,100.0,99.71434097075826,0.7,7,2.0,P32_derived_Jv_proxy,1.3871610281715598,2.3905771982047184,0.8095182796292922,0.9271311344271851,0.9643824511341291,0.8637019115370163,125,3,0,125,1.0,0.0,7.0,0.42857142857142855,1.5915494309189533,0.42857142857142855,0.0,1.5915494309189533,0.3010892337200676,0.5256320241484533,0.22454279042838576,1,1,1,1,1,1
scenario_07_isotropic,41,30,30.5,Center,33.060622858464406,35.90851446755702,20.97754202931409,22.259822629964006,32.795230522612854,34.090909090909086,100.0,2.0,100.0,100.0,99.61598890532413,100.0,0.5714285714285714,4,100.0,100.0,100.0,0.6,6,2.0,P32_derived_Jv_proxy,1.4467858022917013,2.234161462294689,0.7718460786688566,1.220577777324236,0.6345174475121323,0.9132995616469463,123,4,2,121,0.983739837398374,0.016260162601626018,7.0,0.5714285714285714,1.56608464002425,0.5714285714285714,0.025464790894703253,1.5406198491295469,0.33297369166519475,0.5246456723006462,0.19167198063545143,0,0,1,1,1,1
scenario_07_isotropic,42,10,10.5,Center,29.19030127847872,32.69662846317612,23.541928375604208,26.123252464555396,29.925485455827438,30.5465444691752,94.37086403199179,2.0,94.37086403199179,95.7135695975019,96.98722577768874,98.24769036935783,2.142857142857143,15,98.89792490674402,100.0,98.89792490674402,1.3,13,2.0,P32_derived_Jv_proxy,1.4047342772142457,2.2565622452509606,0.8150001345730925,1.1321174642336316,0.8064983006174411,0.9152468270399922,130,15,7,123,0.9461538461538461,0.05384615384615385,7.0,2.142857142857143,1.6552114081557114,2.142857142857143,0.08912676813146139,1.56608464002425,0.2740751581757501,0.4883805974172164,0.21430543924146628,1,1,1,1,1,1
scenario_07_isotropic,42,20,20.5,Center,33.80080207136337,35.75920440154982,28.12830937854792,26.39155062305711,35.34519923746651,35.01039349746494,100.0,2.0,100.0,100.0,99.48230775788286,99.53211598395555,0.8571428571428571,6,99.62985782422976,100.0,99.62985782422976,0.9,9,2.0,P32_derived_Jv_proxy,1.4683836519100295,2.111272391595919,0.7644015684490808,0.9881928594745883,0.8321787547869675,0.9884224168011587,134,6,4,130,0.9701492537313433,0.029850746268656716,7.0,0.8571428571428571,1.706140989945118,0.8571428571428571,0.05092958178940651,1.6552114081557114,0.36105802423105426,0.475966429474013,0.11490840524295876,1,1,1,1,1,1
scenario_07_isotropic,42,30,30.5,Center,31.560241400044774,34.57384147961262,23.988857251385582,23.774032684547702,35.32129653202479,34.090909090909086,99.71730088157119,2.0,99.71730088157119,100.0,99.68282947904477,100.0,0.42857142857142855,3,100.0,100.0,100.0,0.8,8,2.0,P32_derived_Jv_proxy,1.5139304801599365,2.1426437971742947,0.7768853968134881,1.2377868911251515,0.7600973942915262,1.0216190917880192,130,3,1,129,0.9923076923076923,0.007692307692307693,7.0,0.42857142857142855,1.6552114081557114,0.42857142857142855,0.012732395447351627,1.64247901270836,0.5303550693319965,0.5050681976963014,-0.025286871635695096,0,1,1,1,1,1
scenario_07_isotropic,43,10,10.5,Center,30.69781985701029,34.874800605551265,31.879633887205213,25.173967219870494,35.71141430917557,34.090909090909086,98.60189542648162,2.0,98.60189542648162,100.0,99.68282947904477,100.0,0.42857142857142855,3,100.0,100.0,100.0,1.0,10,2.0,P32_derived_Jv_proxy,1.470561884182807,2.134905013710369,0.7595460118482924,0.9278134162271445,1.038498304951289,1.0239890605565536,114,3,2,112,0.9824561403508771,0.017543859649122806,7.0,0.42857142857142855,1.4514930809980855,0.42857142857142855,0.025464790894703253,1.4260282901033823,0.3038833069103458,0.5067186166593994,0.20283530974905362,1,1,1,1,1,1
