case_name,seed,face_x_idx,face_x_coord,borehole_name,Q_face_mean,Qp_face_mean,Q_bh_mean,Q_bh_median,Qp_bh_mean,Qp_bh_median,RQD_bh_mean,Jn_bh_mean,RQD_borehole_direct_mean,RQD_borehole_direct_median,RQD_borehole_hudson_mean,RQD_borehole_hudson_median,lambda_borehole_mean,borehole_n_intersections_sum,RQD_face_scanline,RQD_face_jv,RQD_face_conservative,lambda_face_scanline,face_scanline_n_intersections,Jv_face,Jv_method,Jr_bh_mean,Ja_bh_mean,Jw_bh_mean,SRF_bh_mean,Q_ratio_bh_to_face,Qp_ratio_bh_to_face,face_fracture_count,bh_fracture_count,common_fracture_count,missed_fracture_count,miss_ratio,detection_ratio,bh_window_length,bh_fracture_frequency,face_fracture_density,bh_union_fracture_frequency,common_fracture_density,missed_fracture_density,orientation_bias_bh,face_orientation_bias,orientation_bias_gap_to_face,Q_match_strict,Q_match_normal,Q_match_loose,Qp_match_strict,Qp_match_normal,Qp_match_loose,case_path,case_name_meta,quality_regime,density_regime,orientation_regime,anisotropy_regime
granite_dense_unfavorable,42,10,10.5,Center,10.22752096167769,11.45604664347435,10.125605621293957,11.751685116441019,12.315894301933996,12.0,100.0,4.0,100.0,100.0,99.79947827883811,100.0,0.42857142857142855,3,94.40707486162225,98.5,94.40707486162225,3.6,36,5.0,P32_derived_Jv_proxy,1.1864412182283044,2.4424163794389244,0.8150001345730925,1.1321174642336316,0.990035186359861,1.0750562288387187,401,3,1,400,0.9975062344139651,0.0024937655860349127,7.0,0.42857142857142855,5.105690574388002,0.42857142857142855,0.012732395447351627,5.092958178940651,0.80163746188685,0.8860187722874285,0.0843813104005785,1,1,1,1,1,1,cases/granite_rqd_p32_05.yaml,granite_dense_unfavorable,medium_to_poor,dense,unfavorable,high
granite_dense_unfavorable,42,20,20.5,Center,10.160440309325244,10.74913136865253,9.097452940328614,9.045845414437204,11.473714609643526,12.0,98.6260775873819,4.0,98.6260775873819,100.0,99.86631885255873,100.0,0.2857142857142857,2,93.07947909581392,98.5,93.07947909581392,3.8,38,5.0,P32_derived_Jv_proxy,1.1458663678448129,2.4710771607319773,0.7644015684490808,0.9881928594745883,0.8953797929385973,1.0674085389917258,384,2,0,384,1.0,0.0,7.0,0.2857142857142857,4.8892398517830244,0.2857142857142857,0.0,4.8892398517830244,0.6959440751550362,0.8878949062687826,0.19195083111374645,1,1,1,1,1,1,cases/granite_rqd_p32_05.yaml,granite_dense_unfavorable,medium_to_poor,dense,unfavorable,high
granite_dense_unfavorable,42,30,30.5,Center,10.626740554561405,11.641458590930027,8.19338785850846,7.7711848725763435,12.0,12.0,100.0,4.0,100.0,100.0,100.0,100.0,0.0,0,96.88382819549005,98.5,96.88382819549005,3.4,34,5.0,P32_derived_Jv_proxy,1.2,2.5,0.7768853968134881,1.2377868911251515,0.7710160812189533,1.0307986672176386,373,0,0,373,1.0,0.0,7.0,0.0,4.749183501862157,0.0,0.0,4.749183501862157,0.0,0.891280593507702,0.891280593507702,0,1,1,1,1,1,cases/granite_rqd_p32_05.yaml,granite_dense_unfavorable,medium_to_poor,dense,unfavorable,high
granite_dense_unfavorable,42,40,40.5,Center,10.207014978420485,11.510023829410345,8.016034660538127,8.59034862237485,11.869050999463616,12.0,100.0,4.0,100.0,100.0,99.7994782788381,100.0,0.42857142857142855,3,95.78175533224092,98.5,95.78175533224092,3.6,36,5.0,P32_derived_Jv_proxy,1.2917699805550087,2.6581968143652404,0.7968725190555425,1.236301257673268,0.7853456350838619,1.0311925653130176,381,3,1,380,0.9973753280839895,0.0026246719160104987,7.0,0.42857142857142855,4.8510426654409695,0.42857142857142855,0.012732395447351627,4.8383102699936185,0.879261973474078,0.8823275502042143,0.003065576730136299,0,1,1,1,1,1,cases/granite_rqd_p32_05.yaml,granite_dense_unfavorable,medium_to_poor,dense,unfavorable,high
granite_dense_unfavorable,42,50,50.5,Center,9.25571563403433,10.938378081179495,9.339919169058211,9.509464610406047,11.190233903554883,12.0,100.0,4.0,100.0,100.0,99.86631885255873,100.0,0.2857142857142857,2,92.10479682762124,98.5,92.10479682762124,4.3,43,5.0,P32_derived_Jv_proxy,1.0924347814640272,2.4747160946633073,0.8105161769901513,0.9941293983840317,1.0090974634866974,1.0230249695618705,380,2,0,380,1.0,0.0,7.0,0.2857142857142857,4.8383102699936185,0.2857142857142857,0.0,4.8383102699936185,0.7588146825198931,0.8791133753335871,0.12029869281369399,1,1,1,1,1,1,cases/granite_rqd_p32_05.yaml,granite_dense_unfavorable,medium_to_poor,dense,unfavorable,high
granite_dense_unfavorable,42,60,60.5,Center,9.04189504619748,11.302368807746847,15.841296972185589,18.16961198355381,13.940117825943014,13.240170083235055,99.49787562931321,4.0,99.49787562931321,100.0,99.68807732263703,99.53211598395555,0.6666666666666666,2,92.89867392693819,98.5,92.89867392693819,4.0,40,5.0,P32_derived_Jv_proxy,1.3491526562046927,2.4262644898976067,0.7656895598254247,0.6874169441246285,1.7519885921311993,1.233380193396999,277,2,0,277,1.0,0.0,3.0,0.6666666666666666,3.5268735389164005,0.6666666666666666,0.0,3.5268735389164005,0.7135318294972901,0.895768129606648,0.18223630010935787,0,0,1,1,1,1,cases/granite_rqd_p32_05.yaml,granite_dense_unfavorable,medium_to_poor,dense,unfavorable,high
granite_dense_unfavorable,42,70,70.5,Center,9.6,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100.0,98.5,98.5,0.0,0,5.0,P32_derived_Jv_proxy,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,cases/granite_rqd_p32_05.yaml,granite_dense_unfavorable,medium_to_poor,dense,unfavorable,high
granite_dense_unfavorable,42,80,80.5,Center,9.6,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100.0,98.5,98.5,0.0,0,5.0,P32_derived_Jv_proxy,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,-17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,cases/granite_rqd_p32_05.yaml,granite_dense_unfavorable,medium_to_poor,dense,unfavorable,high
granite_dense_unfavorable,43,10,10.5,Center,9.300656141712329,10.566174730123096,10.409765794685082,10.057635223139187,11.851222700789707,12.0,100.0,4.0,100.0,100.0,99.7496700527654,100.0,0.2857142857142857,2,89.06908875407709,98.5,89.06908875407709,5.3,53,5.0,P32_derived_Jv_proxy,1.1702616562303336,2.466098156754122,0.7595460118482924,0.9278134162271445,1.1192506889915572,1.121619034654336,427,2,2,425,0.9953161592505855,0.00468384074941452,7.0,0.2857142857142857,5.436732856019145,0.2857142857142857,0.025464790894703253,5.411268065124442,0.9702564562519462,0.8875279887922993,-0.0827284674596469,1,1,1,1,1,1,cases/granite_rqd_p32_05.yaml,granite_dense_unfavorable,medium_to_poor,dense,unfavorable,high
granite_dense_unfavorable,43,20,20.5,Center,9.541926174605013,10.848832193592628,9.720786473858654,9.73925789153066,11.203245081085004,12.0,97.82276826506813,4.0,97.82276826506813,100.0,99.61598890532413,100.0,0.5714285714285714,4,90.06911770719513,98.5,90.06911770719513,4.6,46,5.0,P32_derived_Jv_proxy,1.0960114437313253,2.3769276054160313,0.7675669163349912,0.8959169352762667,1.018744674396,1.0326682984092697,402,4,1,401,0.9975124378109452,0.0024875621890547263,7.0,0.5714285714285714,5.118422969835354,0.5714285714285714,0.012732395447351627,5.105690574388002,0.8001390536372148,0.8925944639486686,0.09245541031145377,1,1,1,1,1,1,cases/granite_rqd_p32_05.yaml,granite_dense_unfavorable,medium_to_poor,dense,unfavorable,high
