Scenario,Corr,Bias,RMSE,RQD dependency
scenario_10_fieldlike,0.9998377644729579,0.028006408126564814,0.09413135412302905,Normal
scenario_10_fieldlike,-0.9983169006539869,-0.055016976869663115,0.12627459130876464,Normal
scenario_10_fieldlike,-0.9976996895221141,-0.07045372606278837,0.07487093370959061,Normal
scenario_10_fieldlike,-0.4898827770294829,-0.01615621314441995,0.04115553193214997,Normal
scenario_10_fieldlike,-0.9689109032191595,-0.029061106795402525,0.033794308735256344,Normal
scenario_10_fieldlike,0.2659378307495316,-0.023985155233976485,0.0606974251380854,Normal
scenario_10_fieldlike,0.21123890896242706,-0.009991277597889573,0.07155526513109153,Normal
scenario_10_fieldlike,-0.9517155911399906,0.007476353121645,0.04000811436267336,Normal
scenario_10_fieldlike,-0.9995401303471252,0.001021271142327122,0.03464440295566316,Normal
scenario_10_fieldlike,-0.32786476818479415,-0.02458124247697291,0.0402967160481333,Normal
scenario_10_fieldlike,-0.9447296868969302,0.010915290827231269,0.0485619598513747,Normal
scenario_10_fieldlike,0.47184608912077447,0.06415359072657267,0.09014285065463211,Normal
scenario_10_fieldlike,0.6837523738330704,0.03143181746696966,0.08026454154752224,Normal
scenario_10_fieldlike,0.1591001454664661,-0.0280089422700522,0.07311614859315953,Normal
scenario_10_fieldlike,-0.3566054526116179,0.006063425537517671,0.06744127021616363,Normal
scenario_10_fieldlike,-0.956695828542152,0.03341654343118424,0.05189428639919275,Normal
scenario_10_fieldlike,-0.9953868415658732,-0.05491606963920267,0.07555879799368549,Normal
scenario_10_fieldlike,-0.6119969423063828,-0.028063748544442824,0.08057942608260378,Normal
scenario_10_fieldlike,0.43537331804962526,-0.04238367716337388,0.09059238425256291,Normal
scenario_10_fieldlike,-0.28115957229616273,-0.08575430537965412,0.08931006980331535,Normal
