case_name,seed,face_x_idx,face_x_coord,borehole_name,Q_face_mean,Qp_face_mean,Q_bh_mean,Q_bh_median,Qp_bh_mean,Qp_bh_median,RQD_bh_mean,Jn_bh_mean,RQD_borehole_direct_mean,RQD_borehole_direct_median,RQD_borehole_hudson_mean,RQD_borehole_hudson_median,lambda_borehole_mean,borehole_n_intersections_sum,RQD_face_scanline,RQD_face_jv,RQD_face_conservative,lambda_face_scanline,face_scanline_n_intersections,Jv_face,Jv_method,Jr_bh_mean,Ja_bh_mean,Jw_bh_mean,SRF_bh_mean,Q_ratio_bh_to_face,Qp_ratio_bh_to_face,face_fracture_count,bh_fracture_count,common_fracture_count,missed_fracture_count,miss_ratio,detection_ratio,bh_window_length,bh_fracture_frequency,face_fracture_density,bh_union_fracture_frequency,common_fracture_density,missed_fracture_density,orientation_bias_bh,face_orientation_bias,orientation_bias_gap_to_face,Q_match_strict,Q_match_normal,Q_match_loose,Qp_match_strict,Qp_match_normal,Qp_match_loose
scenario_10_fieldlike,40,10,10.5,Center,13.420617076959978,14.852860341442055,11.021201681524431,10.112828105993753,14.24952834674032,13.529998047377134,92.7425725224421,4.0,92.7425725224421,92.73732531361065,96.27607478826381,96.30636868862332,2.7142857142857144,19,99.69882538541326,100.0,99.69882538541326,0.4,4,4.1,P32_derived_Jv_proxy,1.218964230818766,2.0587030194189313,0.8190682357572294,1.1443117334358373,0.8212142272090621,0.9593794070076634,1346,19,0,1346,1.0,0.0,7.0,2.7142857142857144,17.13780427213529,2.7142857142857144,0.0,17.13780427213529,0.34980521663128317,0.30485421299177073,-0.04495100363951243,1,1,1,1,1,1
scenario_10_fieldlike,40,20,20.5,Center,11.88067871227856,14.9650434554209,12.88790698276682,9.866783847356437,15.273280829097233,15.617855591547372,95.55597827684832,4.0,95.55597827684832,96.36854209035417,97.96616348387064,98.24769036935783,2.0,14,100.0,100.0,100.0,0.2,2,4.1,P32_derived_Jv_proxy,1.2291543723719198,1.981087613989436,0.7437915959255893,0.969117620128164,1.0847786809896054,1.020597158611302,1292,14,1,1291,0.9992260061919505,0.0007739938080495357,7.0,2.0,16.450254917978302,2.0,0.012732395447351627,16.43752252253095,0.29838408771935365,0.3138380097644228,0.015453922045069124,1,1,1,1,1,1
scenario_10_fieldlike,40,30,30.5,Center,13.084351484147584,14.929752029018244,17.822713267164715,16.049546869154955,14.967989963384905,13.840948024973557,93.762690342846,4.0,93.762690342846,100.0,95.69127150409088,98.24769036935783,2.857142857142857,20,100.0,100.0,100.0,0.8,8,4.1,P32_derived_Jv_proxy,1.2047957309719117,1.9181032100153683,0.8622720667942148,0.8314782712972022,1.3621395977292354,1.0025611901853655,1322,20,1,1321,0.9992435703479576,0.0007564296520423601,7.0,2.857142857142857,16.83222678139885,2.857142857142857,0.012732395447351627,16.8194943859515,0.25268378570998107,0.3129865713868154,0.060302785676834336,0,1,1,1,1,1
scenario_10_fieldlike,41,10,10.5,Center,12.745286614980188,14.734914141035016,13.511326661770639,13.775907974420814,15.583334882423388,13.99277201561925,90.36694319395068,4.0,90.36694319395068,95.11029771377366,92.20608903001254,90.97959895689502,4.285714285714286,30,100.0,100.0,100.0,0.2,2,4.1,P32_derived_Jv_proxy,1.2239145449758084,1.8378130603660137,0.8055916184226878,0.9860304434894659,1.0601037913019613,1.0575789402820897,1356,30,1,1355,0.9992625368731564,0.0007374631268436578,7.0,4.285714285714286,17.265128226608805,4.285714285714286,0.012732395447351627,17.252395831161454,0.2933248610194069,0.3090356397153443,0.0157107786959374,1,1,1,1,1,1
scenario_10_fieldlike,41,20,20.5,Center,12.33909890875768,14.843744585227196,13.080954337494408,12.879451773901613,14.564635453961728,16.846223305839914,97.5758131294866,4.0,97.5758131294866,100.0,97.7083540299425,98.24769036935783,2.142857142857143,15,100.0,100.0,100.0,0.6,6,4.1,P32_derived_Jv_proxy,1.121591357411095,1.9173836382786447,0.8095182796292922,0.9271311344271851,1.060122334233839,0.981196851666173,1351,15,2,1349,0.9985196150999259,0.0014803849000740192,7.0,2.142857142857143,17.201466249372046,2.142857142857143,0.025464790894703253,17.176001458477344,0.3163347289460041,0.30872741392071257,-0.00760731502529155,1,1,1,1,1,1
scenario_10_fieldlike,41,30,30.5,Center,13.797885805801402,14.986456371388899,8.39570642062586,8.48841236289294,13.47439581113064,12.999999999999998,96.98106946416935,4.0,96.98106946416935,100.0,98.05252627233949,98.24769036935783,1.8571428571428572,13,99.06493914465851,100.0,99.06493914465851,0.6,6,4.1,P32_derived_Jv_proxy,1.2040965812167532,2.2923677286075304,0.7718460786688566,1.220577777324236,0.6084777435319718,0.8991048635656805,1354,13,1,1353,0.9992614475627769,0.0007385524372230429,7.0,1.8571428571428572,17.239663435714103,1.8571428571428572,0.012732395447351627,17.226931040266752,0.333124968633446,0.30818706184266975,-0.024937906790776232,0,0,1,1,1,1
scenario_10_fieldlike,42,10,10.5,Center,13.56143900647839,15.190433575544002,12.056636449218804,8.929531320860763,13.780062396037493,13.560741408315934,91.33203828447071,4.0,91.33203828447071,95.89144631004882,93.15054550805914,93.8448064449895,3.857142857142857,27,100.0,100.0,100.0,0.1,1,4.1,P32_derived_Jv_proxy,1.1599381449891037,2.0038193498927894,0.8150001345730925,1.1321174642336316,0.8890381355149161,0.907153987903469,1297,27,4,1293,0.9969159599074788,0.0030840400925212026,7.0,3.857142857142857,16.51391689521506,3.857142857142857,0.05092958178940651,16.462987313425653,0.28558414032760593,0.3115793482152571,0.025995207887651195,1,1,1,1,1,1
scenario_10_fieldlike,42,20,20.5,Center,14.159704510737578,14.980111028015868,12.50306806962783,10.135285516348686,15.503932921877938,15.36087157457333,98.87787183454338,4.0,98.87787183454338,99.84079104222072,97.87651640551907,98.24769036935783,2.142857142857143,15,99.4022165057463,100.0,99.4022165057463,0.6,6,4.1,P32_derived_Jv_proxy,1.2675776719513523,2.0972065611260073,0.7644015684490808,0.9881928594745883,0.8830034595811311,1.0349678245296323,1272,15,1,1271,0.9992138364779874,0.0007861635220125787,7.0,2.142857142857143,16.19560700903127,2.142857142857143,0.012732395447351627,16.182874613583916,0.3004776882460938,0.31000936035919213,0.009531672113098355,1,1,1,1,1,1
scenario_10_fieldlike,42,30,30.5,Center,13.627820632982417,14.929103497816076,10.670442625396756,10.79913730195568,15.755691769816156,16.358683375073962,97.50958978572721,4.0,97.50958978572721,99.3591474126366,97.64321091689739,98.24769036935783,2.0,14,100.0,100.0,100.0,0.7,7,4.1,P32_derived_Jv_proxy,1.303475228474397,2.073689966384308,0.7768853968134881,1.2377868911251515,0.7829896586378503,1.0553675759646919,1308,14,1,1307,0.9992354740061162,0.0007645259938837921,7.0,2.0,16.653973245135926,2.0,0.012732395447351627,16.641240849688575,0.2792692927319076,0.31254627877868524,0.033276986046777646,0,1,1,1,1,1
scenario_10_fieldlike,43,10,10.5,Center,13.353921181324258,15.170958089865078,12.516939892267791,11.484268068786992,14.596442148863716,14.326340156864044,92.83366152889144,4.0,92.83366152889144,95.2640603940539,95.75641461713595,96.30636868862332,3.0,21,100.0,100.0,100.0,0.2,2,4.1,P32_derived_Jv_proxy,1.2833269763582889,2.129131970635943,0.7595460118482924,0.9278134162271445,0.937323181881064,0.9621305432657437,1373,21,2,1371,0.9985433357611071,0.0014566642388929353,7.0,3.0,17.481578949213784,3.0,0.025464790894703253,17.45611415831908,0.31207144968694267,0.31221058594415363,0.0001391362572109589,1,1,1,1,1,1
