column,exists,count,mean,std,min,p10,p25,p50,p75,p90,max
RQD_borehole_direct,True,72,73.9662788121388,43.02267572812834,0.0,0.0,70.97214414544388,98.00208963024947,100.0,100.0,100.0
RQD_borehole_hudson,True,72,74.22005081131172,43.161267666448495,0.0,0.0,71.8730510231626,98.64792949070986,99.68414143994283,99.8640908334347,100.0
RQD_face_scanline,True,72,81.34071415909696,18.78353885932161,42.38119555734482,52.36482919426372,71.15758501555108,87.23572284314346,98.81802670833474,100.0,100.0
RQD_face_jv,True,72,76.5,20.723532245551056,49.0,49.0,49.0,82.0,98.5,98.5,98.5
RQD_face_conservative,True,72,74.14845498420449,19.67204450250904,42.38119555734482,49.0,49.0,82.0,92.2778595477217,96.8915620232743,98.5
