case_name,seed,face_x_idx,face_x_coord,borehole_name,Q_face_mean,Qp_face_mean,Q_bh_mean,Q_bh_median,Qp_bh_mean,Qp_bh_median,RQD_bh_mean,Jn_bh_mean,RQD_borehole_direct_mean,RQD_borehole_direct_median,RQD_borehole_hudson_mean,RQD_borehole_hudson_median,lambda_borehole_mean,borehole_n_intersections_sum,RQD_face_scanline,RQD_face_jv,RQD_face_conservative,lambda_face_scanline,face_scanline_n_intersections,Jv_face,Jv_method,Jr_bh_mean,Ja_bh_mean,Jw_bh_mean,SRF_bh_mean,Q_ratio_bh_to_face,Qp_ratio_bh_to_face,face_fracture_count,bh_fracture_count,common_fracture_count,missed_fracture_count,miss_ratio,detection_ratio,bh_window_length,bh_fracture_frequency,face_fracture_density,bh_union_fracture_frequency,common_fracture_density,missed_fracture_density,orientation_bias_bh,face_orientation_bias,orientation_bias_gap_to_face,Q_match_strict,Q_match_normal,Q_match_loose,Qp_match_strict,Qp_match_normal,Qp_match_loose,case_path,case_name_meta,quality_regime,density_regime,orientation_regime,anisotropy_regime
granite_good_dense,42,10,10.5,Center,35.76426425939441,41.3359971330611,39.58317982515321,31.92250713351166,41.63783494927129,41.66666666666667,96.90304497410764,4.0,96.90304497410764,100.0,98.06536340317659,100.0,1.4285714285714286,10,100.0,100.0,100.0,0.2,2,1.4,P32_derived_Jv_proxy,1.9825459671735521,1.1636133394652433,0.8649277138228487,1.0250012572190166,1.1067802076972872,1.0073020572175522,96,10,4,92,0.9583333333333334,0.041666666666666664,7.0,1.4285714285714286,1.2223099629457561,1.4285714285714286,0.05092958178940651,1.1713803811563497,0.14791923750689118,0.1275471134129802,-0.02037212409391098,1,1,1,1,1,1,cases/granite_good_dense.yaml,granite_good_dense,good,dense,favorable_or_mixed,moderate
granite_good_dense,42,20,20.5,Center,38.22277175554712,43.89360114355036,43.76936103484092,40.96026734492037,43.782240960937294,41.66666666666667,96.68338937438305,4.0,96.68338937438305,100.0,98.73667554032262,99.53211598395555,1.1428571428571428,8,100.0,100.0,100.0,0.2,2,1.4,P32_derived_Jv_proxy,2.031215661804189,1.1278697366976336,0.8144351795766924,0.8926088927430118,1.1451121680752743,0.9974629517808559,110,8,6,104,0.9454545454545454,0.05454545454545454,7.0,1.1428571428571428,1.4005634992086788,1.1428571428571428,0.07639437268410976,1.3241691265245692,0.08837932634081347,0.13025663369649965,0.04187730735568618,1,1,1,1,1,1,cases/granite_good_dense.yaml,granite_good_dense,good,dense,favorable_or_mixed,moderate
granite_good_dense,42,30,30.5,Center,36.906678678146754,43.53877170202924,32.742663585198564,29.258931992134066,39.36455224892777,41.66666666666667,98.46939586688497,4.0,98.46939586688497,100.0,99.27181666292714,99.53211598395555,0.8571428571428571,6,100.0,100.0,100.0,0.1,1,1.4,P32_derived_Jv_proxy,1.9690023058836503,1.2489589784329296,0.8106102889220763,1.1316567898661758,0.8871744832619199,0.9041263846010862,94,6,1,93,0.9893617021276596,0.010638297872340425,7.0,0.8571428571428571,1.196845172051053,0.8571428571428571,0.012732395447351627,1.1841127766037014,0.0978691364037646,0.1171721926149879,0.0193030562112233,1,1,1,1,1,1,cases/granite_good_dense.yaml,granite_good_dense,good,dense,favorable_or_mixed,moderate
granite_good_dense,42,40,40.5,Center,34.583924160600006,39.852343813298205,32.8156964107241,31.97020050513866,40.31087155136789,41.66666666666667,97.27627012365868,4.0,97.27627012365868,100.0,98.56066567350224,99.53211598395555,1.4285714285714286,10,100.0,100.0,100.0,0.4,4,1.4,P32_derived_Jv_proxy,1.9216988098226557,1.1713812867703604,0.8029491566057084,1.009873484150154,0.9488713963844979,1.0115056655191426,93,10,4,89,0.956989247311828,0.043010752688172046,7.0,1.4285714285714286,1.1841127766037014,1.4285714285714286,0.05092958178940651,1.1331831948142947,0.0900032853015148,0.08645554381602949,-0.0035477414854853118,1,1,1,1,1,1,cases/granite_good_dense.yaml,granite_good_dense,good,dense,favorable_or_mixed,moderate
granite_good_dense,42,50,50.5,Center,36.95944904825547,41.24261081569461,40.6802401321628,29.202846568865873,40.5603068645914,41.66666666666667,99.61606522380859,4.0,99.61606522380859,100.0,99.54914833160349,99.53211598395555,0.7142857142857143,5,100.0,100.0,100.0,0.3,3,1.4,P32_derived_Jv_proxy,2.0611797135417076,1.2775636644843666,0.801914337164499,0.8985959531084314,1.100672255126134,0.983456334659503,108,5,3,105,0.9722222222222222,0.027777777777777776,7.0,0.7142857142857143,1.3750987083139756,0.7142857142857143,0.03819718634205488,1.336901521971921,0.050146619674271364,0.11778379361379643,0.06763717393952506,1,1,1,1,1,1,cases/granite_good_dense.yaml,granite_good_dense,good,dense,favorable_or_mixed,moderate
granite_good_dense,42,60,60.5,Center,36.88995440216476,40.87394297524518,34.28755559063552,31.28965931476579,40.60640822493225,40.53331962122934,99.8950365417563,4.0,99.8950365417563,100.0,99.23197781064827,99.53211598395555,1.1428571428571428,8,100.0,100.0,100.0,0.1,1,1.4,P32_derived_Jv_proxy,1.7705892809594754,1.1282386557728574,0.809268819463607,0.969510772207947,0.9294550819131256,0.9934546380691739,107,8,2,105,0.9813084112149533,0.018691588785046728,7.0,1.1428571428571428,1.3623663128666241,1.1428571428571428,0.025464790894703253,1.336901521971921,0.11083379240368241,0.11713743806853727,0.006303645664854862,1,1,1,1,1,1,cases/granite_good_dense.yaml,granite_good_dense,good,dense,favorable_or_mixed,moderate
granite_good_dense,42,70,70.5,Center,35.74666549075029,40.82607648427957,34.61358332293058,33.63961470289472,42.740480801401716,41.66666666666667,97.07633886228164,4.0,97.07633886228164,100.0,98.4440089846739,99.53211598395555,1.2857142857142858,9,100.0,100.0,100.0,0.2,2,1.4,P32_derived_Jv_proxy,2.0919082028808904,1.194658579946072,0.7891648501805587,1.0533063114087906,0.9683024373808264,1.0468917045667934,84,9,5,79,0.9404761904761905,0.05952380952380952,7.0,1.2857142857142858,1.0695212175775366,1.2857142857142858,0.06366197723675814,1.0058592403407784,0.07663913656116761,0.11368316356881691,0.037044027007649305,1,1,1,1,1,1,cases/granite_good_dense.yaml,granite_good_dense,good,dense,favorable_or_mixed,moderate
granite_good_dense,42,80,80.5,Center,36.52441980265029,41.02393302842622,36.88556860266421,27.68687613024612,40.17957579727494,38.97127757506612,98.45233899367774,4.0,98.45233899367774,99.58525079021577,98.58766739494399,98.24769036935783,1.5714285714285714,11,100.0,100.0,100.0,0.0,0,1.4,P32_derived_Jv_proxy,2.0020545074153255,1.2475628348295784,0.7952730469422277,1.030404587958243,1.0098878723321352,0.9794179356092891,93,11,7,86,0.9247311827956989,0.07526881720430108,7.0,1.5714285714285714,1.1841127766037014,1.5714285714285714,0.08912676813146139,1.0949860084722398,0.07376257029936728,0.13103866414706644,0.05727609384769916,1,1,1,1,1,1,cases/granite_good_dense.yaml,granite_good_dense,good,dense,favorable_or_mixed,moderate
granite_good_dense,43,10,10.5,Center,34.81908277140751,40.734941422717895,40.749920775605666,40.090538503586316,43.01859866684817,41.66666666666667,97.58387431710277,4.0,97.58387431710277,100.0,98.23601564585344,98.24769036935783,1.7142857142857142,12,100.0,100.0,100.0,0.2,2,1.4,P32_derived_Jv_proxy,1.8299573516904213,1.0683448866227645,0.827807401415175,0.9191948836702305,1.170332976406501,1.056061385247425,110,12,8,102,0.9272727272727272,0.07272727272727272,7.0,1.7142857142857142,1.4005634992086788,1.7142857142857142,0.10185916357881301,1.298704335629866,0.08870093130838708,0.10933808871609718,0.020637157407710105,1,1,1,1,1,1,cases/granite_good_dense.yaml,granite_good_dense,good,dense,favorable_or_mixed,moderate
granite_good_dense,43,20,20.5,Center,34.0230686377963,41.754825105452944,31.050877283707223,24.827161659524062,38.122659038259044,38.358362768057006,99.0906091150288,4.0,99.0906091150288,100.0,99.48230775788286,99.53211598395555,0.8571428571428571,6,100.0,100.0,100.0,0.3,3,1.4,P32_derived_Jv_proxy,2.0216349480133977,1.3166426913240166,0.7890776707083306,1.0851433198448603,0.9126418787872866,0.9130120636831608,98,6,3,95,0.9693877551020408,0.030612244897959183,7.0,0.8571428571428571,1.2477747538404593,0.8571428571428571,0.03819718634205488,1.2095775674984046,0.06206653877927393,0.124421052199018,0.06235451341974407,1,1,1,1,1,1,cases/granite_good_dense.yaml,granite_good_dense,good,dense,favorable_or_mixed,moderate
