predictor,target,threshold,n,prior_target_good_rate,TP,FP_false_safe,FN_false_alarm,TN,accuracy,balanced_accuracy,false_safe_rate,false_alarm_rate,expected_cost
RQD_borehole_direct,RQD_face_conservative,45.0,72,1.0,50,0,22,0,0.6944444444444444,0.6944444444444444,,0.3055555555555556,0.3055555555555556
RQD_borehole_direct,RQD_face_conservative,50.0,72,0.6666666666666666,36,7,12,17,0.7361111111111112,0.7291666666666667,0.2916666666666667,0.25,1.1388888888888888
RQD_borehole_direct,RQD_face_conservative,55.0,72,0.6666666666666666,36,3,12,21,0.7916666666666666,0.8125,0.125,0.25,0.5833333333333334
RQD_borehole_direct,RQD_face_conservative,60.0,72,0.6666666666666666,36,1,12,23,0.8194444444444444,0.8541666666666667,0.041666666666666664,0.25,0.3055555555555556
RQD_borehole_direct,RQD_face_conservative,65.0,72,0.6666666666666666,36,0,12,24,0.8333333333333334,0.875,0.0,0.25,0.16666666666666666
RQD_borehole_direct,RQD_face_conservative,70.0,72,0.6666666666666666,36,0,12,24,0.8333333333333334,0.875,0.0,0.25,0.16666666666666666
RQD_borehole_direct,RQD_face_conservative,75.0,72,0.6666666666666666,33,0,15,24,0.7916666666666666,0.84375,0.0,0.3125,0.20833333333333334
RQD_borehole_direct,RQD_face_conservative,80.0,72,0.6666666666666666,27,0,21,24,0.7083333333333334,0.78125,0.0,0.4375,0.2916666666666667
RQD_borehole_direct,RQD_face_conservative,85.0,72,0.3333333333333333,17,3,7,45,0.8611111111111112,0.8229166666666667,0.0625,0.2916666666666667,0.5138888888888888
RQD_borehole_direct,RQD_face_conservative,90.0,72,0.3333333333333333,13,2,11,46,0.8194444444444444,0.75,0.041666666666666664,0.4583333333333333,0.4305555555555556
RQD_borehole_direct,RQD_face_conservative,95.0,72,0.3333333333333333,2,1,22,47,0.6805555555555556,0.53125,0.020833333333333332,0.9166666666666666,0.4444444444444444
RQD_borehole_direct,RQD_face_conservative,100.0,72,0.0,0,0,0,72,1.0,1.0,0.0,,0.0
RQD_borehole_hudson,RQD_face_scanline,10.0,72,1.0,54,0,18,0,0.75,0.75,,0.25,0.25
RQD_borehole_hudson,RQD_face_scanline,15.0,72,1.0,54,0,18,0,0.75,0.75,,0.25,0.25
RQD_borehole_hudson,RQD_face_scanline,20.0,72,1.0,54,0,18,0,0.75,0.75,,0.25,0.25
RQD_borehole_hudson,RQD_face_scanline,25.0,72,1.0,54,0,18,0,0.75,0.75,,0.25,0.25
RQD_borehole_hudson,RQD_face_scanline,30.0,72,1.0,54,0,18,0,0.75,0.75,,0.25,0.25
RQD_borehole_hudson,RQD_face_scanline,35.0,72,1.0,54,0,18,0,0.75,0.75,,0.25,0.25
RQD_borehole_hudson,RQD_face_scanline,40.0,72,1.0,54,0,18,0,0.75,0.75,,0.25,0.25
RQD_borehole_hudson,RQD_face_scanline,45.0,72,1.0,51,0,21,0,0.7083333333333334,0.7083333333333334,,0.2916666666666667,0.2916666666666667
RQD_borehole_hudson,RQD_face_scanline,50.0,72,1.0,48,0,24,0,0.6666666666666666,0.6666666666666666,,0.3333333333333333,0.3333333333333333
RQD_borehole_hudson,RQD_face_scanline,55.0,72,1.0,41,0,31,0,0.5694444444444444,0.5694444444444444,,0.4305555555555556,0.4305555555555556
RQD_borehole_hudson,RQD_face_scanline,60.0,72,1.0,37,0,35,0,0.5138888888888888,0.5138888888888888,,0.4861111111111111,0.4861111111111111
RQD_borehole_hudson,RQD_face_scanline,65.0,72,1.0,36,0,36,0,0.5,0.5,,0.5,0.5
RQD_borehole_hudson,RQD_face_scanline,70.0,72,1.0,36,0,36,0,0.5,0.5,,0.5,0.5
RQD_borehole_hudson,RQD_face_scanline,75.0,72,1.0,35,0,37,0,0.4861111111111111,0.4861111111111111,,0.5138888888888888,0.5138888888888888
RQD_borehole_hudson,RQD_face_scanline,80.0,72,1.0,31,0,41,0,0.4305555555555556,0.4305555555555556,,0.5694444444444444,0.5694444444444444
RQD_borehole_hudson,RQD_face_scanline,85.0,72,1.0,21,0,51,0,0.2916666666666667,0.2916666666666667,,0.7083333333333334,0.7083333333333334
RQD_borehole_hudson,RQD_face_scanline,90.0,72,1.0,16,0,56,0,0.2222222222222222,0.2222222222222222,,0.7777777777777778,0.7777777777777778
RQD_borehole_hudson,RQD_face_scanline,95.0,72,1.0,2,0,70,0,0.027777777777777776,0.027777777777777776,,0.9722222222222222,0.9722222222222222
RQD_borehole_hudson,RQD_face_scanline,100.0,72,0.4861111111111111,0,0,35,37,0.5138888888888888,0.5,0.0,1.0,0.4861111111111111
RQD_borehole_hudson,RQD_face_jv,10.0,72,1.0,54,0,18,0,0.75,0.75,,0.25,0.25
RQD_borehole_hudson,RQD_face_jv,15.0,72,1.0,54,0,18,0,0.75,0.75,,0.25,0.25
RQD_borehole_hudson,RQD_face_jv,20.0,72,1.0,54,0,18,0,0.75,0.75,,0.25,0.25
RQD_borehole_hudson,RQD_face_jv,25.0,72,1.0,54,0,18,0,0.75,0.75,,0.25,0.25
RQD_borehole_hudson,RQD_face_jv,30.0,72,1.0,54,0,18,0,0.75,0.75,,0.25,0.25
RQD_borehole_hudson,RQD_face_jv,35.0,72,1.0,54,0,18,0,0.75,0.75,,0.25,0.25
RQD_borehole_hudson,RQD_face_jv,40.0,72,1.0,54,0,18,0,0.75,0.75,,0.25,0.25
RQD_borehole_hudson,RQD_face_jv,45.0,72,1.0,51,0,21,0,0.7083333333333334,0.7083333333333334,,0.2916666666666667,0.2916666666666667
RQD_borehole_hudson,RQD_face_jv,50.0,72,0.6666666666666666,36,12,12,12,0.6666666666666666,0.625,0.5,0.25,1.8333333333333333
RQD_borehole_hudson,RQD_face_jv,55.0,72,0.6666666666666666,36,5,12,19,0.7638888888888888,0.7708333333333333,0.20833333333333334,0.25,0.8611111111111112
RQD_borehole_hudson,RQD_face_jv,60.0,72,0.6666666666666666,36,1,12,23,0.8194444444444444,0.8541666666666667,0.041666666666666664,0.25,0.3055555555555556
RQD_borehole_hudson,RQD_face_jv,65.0,72,0.6666666666666666,36,0,12,24,0.8333333333333334,0.875,0.0,0.25,0.16666666666666666
RQD_borehole_hudson,RQD_face_jv,70.0,72,0.6666666666666666,36,0,12,24,0.8333333333333334,0.875,0.0,0.25,0.16666666666666666
RQD_borehole_hudson,RQD_face_jv,75.0,72,0.6666666666666666,35,0,13,24,0.8194444444444444,0.8645833333333333,0.0,0.2708333333333333,0.18055555555555555
RQD_borehole_hudson,RQD_face_jv,80.0,72,0.6666666666666666,31,0,17,24,0.7638888888888888,0.8229166666666667,0.0,0.3541666666666667,0.2361111111111111
RQD_borehole_hudson,RQD_face_jv,85.0,72,0.3333333333333333,18,3,6,45,0.875,0.84375,0.0625,0.25,0.5
RQD_borehole_hudson,RQD_face_jv,90.0,72,0.3333333333333333,15,1,9,47,0.8611111111111112,0.8020833333333333,0.020833333333333332,0.375,0.2638888888888889
RQD_borehole_hudson,RQD_face_jv,95.0,72,0.3333333333333333,2,0,22,48,0.6944444444444444,0.5416666666666666,0.0,0.9166666666666666,0.3055555555555556
RQD_borehole_hudson,RQD_face_jv,100.0,72,0.0,0,0,0,72,1.0,1.0,0.0,,0.0
RQD_borehole_hudson,RQD_face_conservative,10.0,72,1.0,54,0,18,0,0.75,0.75,,0.25,0.25
RQD_borehole_hudson,RQD_face_conservative,15.0,72,1.0,54,0,18,0,0.75,0.75,,0.25,0.25
RQD_borehole_hudson,RQD_face_conservative,20.0,72,1.0,54,0,18,0,0.75,0.75,,0.25,0.25
