orientation_gap_regime,predictor,target,n,pred_mean,target_mean,bias,mae,rmse,median_abs_error,corr,overestimation_rate,underestimation_rate,equal_rate
low_gap,RQD_borehole_direct,RQD_face_scanline,24,75.4935137202517,99.28981811584929,-23.79630439559757,23.79630439559757,30.317480475453625,19.15888875308942,0.6576447931073198,0.0,1.0,0.0
mid_gap,RQD_borehole_direct,RQD_face_scanline,24,27.36323768889709,99.71505182214817,-72.35181413325108,72.35181413325108,80.44611566923716,100.0,-0.31908293654271347,0.0,1.0,0.0
high_gap,RQD_borehole_direct,RQD_face_scanline,24,62.691169976211654,99.4338909549967,-36.742720978785066,36.742720978785066,48.74179528635083,21.770212447974544,0.09512512034272572,0.0,1.0,0.0
low_gap,RQD_borehole_hudson,RQD_face_scanline,24,76.87069441798785,99.28981811584929,-22.419123697861433,22.419123697861433,28.171122471026717,19.00365516481311,0.708422813065978,0.0,1.0,0.0
mid_gap,RQD_borehole_hudson,RQD_face_scanline,24,29.155466036550575,99.71505182214817,-70.5595857855976,70.5595857855976,79.6863374497558,100.0,-0.3688652377124112,0.0,1.0,0.0
high_gap,RQD_borehole_hudson,RQD_face_scanline,24,63.80497049350737,99.4338909549967,-35.628920461489336,35.628920461489336,48.05654433804813,18.480320497843685,0.08168072366513965,0.0,1.0,0.0
low_gap,RQD_borehole_direct,RQD_face_jv,24,75.4935137202517,77.875,-2.3814862797482923,7.044789856112746,8.097089308314516,7.120190104205502,0.9218553083393467,0.2916666666666667,0.7083333333333334,0.0
mid_gap,RQD_borehole_direct,RQD_face_jv,24,27.36323768889709,75.8125,-48.449262311102906,48.9601062857499,63.02253180090197,49.0,0.045994539158202286,0.08333333333333333,0.9166666666666666,0.0
high_gap,RQD_borehole_direct,RQD_face_jv,24,62.691169976211654,75.8125,-13.121330023788351,14.844825170067011,28.04106315776588,4.828854800220995,0.6357611761302969,0.25,0.75,0.0
low_gap,RQD_borehole_hudson,RQD_face_jv,24,76.87069441798785,77.875,-1.004305582012158,4.926559597307287,5.601679804036384,4.317234784144919,0.96320060412543,0.3333333333333333,0.6666666666666666,0.0
mid_gap,RQD_borehole_hudson,RQD_face_jv,24,29.155466036550575,75.8125,-46.65703396344943,48.34890665668831,62.9147873503634,49.0,0.02776349990812772,0.25,0.75,0.0
high_gap,RQD_borehole_hudson,RQD_face_jv,24,63.80497049350737,75.8125,-12.007529506492624,14.761545753291296,28.093969376027708,5.122573266904769,0.6181974691314603,0.375,0.625,0.0
