Scenario,Corr,Bias,RMSE,RQD dependency
scenario_05_orthogonal_two_sets,0.8236708918539546,-0.005505890901405408,0.06594945702497954,Normal
scenario_05_orthogonal_two_sets,0.8443823062360567,-0.019814467105621514,0.0947787268507116,Normal
scenario_05_orthogonal_two_sets,-0.9464089118630412,-0.07787300284936875,0.10698023303082932,Normal
scenario_05_orthogonal_two_sets,-0.2964773557539625,-0.03183579961746378,0.04464626629258443,Normal
scenario_05_orthogonal_two_sets,0.8951986574413499,-0.020999971122544963,0.03106523697278412,Normal
scenario_05_orthogonal_two_sets,-0.9084374636994074,-0.013490151407157036,0.03437927007248165,Normal
scenario_05_orthogonal_two_sets,0.49876279733868906,-0.03733838678028848,0.05747939152614553,Normal
scenario_05_orthogonal_two_sets,-0.998833234348215,0.047289608395482206,0.10488618350598575,Normal
scenario_05_orthogonal_two_sets,-0.15609102557132484,0.03291507783108686,0.05440617918134934,Normal
scenario_05_orthogonal_two_sets,0.6418660918856648,-0.09282801482240699,0.09995980644636045,Normal
scenario_05_orthogonal_two_sets,-0.6289609933518505,0.022886688578542962,0.03020419313870963,Normal
scenario_05_orthogonal_two_sets,-0.9845731517293574,0.08133700190947628,0.09832774815699592,Normal
scenario_05_orthogonal_two_sets,-0.8744401399573477,0.022813725728872452,0.0781435191985512,Normal
scenario_05_orthogonal_two_sets,0.746174521302693,-0.021687173307873103,0.05909568187198709,Normal
scenario_05_orthogonal_two_sets,-0.5324324101218838,0.0584363813290926,0.07543490067096366,Normal
scenario_05_orthogonal_two_sets,-0.9976586249470368,0.04334018447555669,0.060714209485597574,Normal
scenario_05_orthogonal_two_sets,0.13749684250881444,-0.02754752374456541,0.07098992354066681,Normal
scenario_05_orthogonal_two_sets,-0.25890215429972235,-0.0034274651166845693,0.0134600989254028,Normal
scenario_05_orthogonal_two_sets,0.8176710459549723,-0.015742169989555466,0.0756391117754162,Normal
scenario_05_orthogonal_two_sets,0.9111626543224468,-0.05202792981912863,0.09012544668607594,Normal
