case_name,predictor,target,n,pred_mean,target_mean,bias,mae,rmse,median_abs_error,corr,overestimation_rate,underestimation_rate,equal_rate
granite_dense_unfavorable,RQD_borehole_direct,RQD_face_scanline,80,99.72548428428004,98.02758719486208,1.697897089417954,1.7919905083692427,2.1828163475335463,1.5846255407157699,0.05568584294505273,0.8875,0.1,0.0125
granite_good_dense,RQD_borehole_direct,RQD_face_scanline,80,98.33641286612088,99.97603838267936,-1.6396255165584699,1.6396255165584699,2.090891717318333,1.4784875060760143,0.009898715359199858,0.0,0.875,0.125
granite_medium,RQD_borehole_direct,RQD_face_scanline,80,99.32108355812832,99.80133469414174,-0.4802511360134275,0.6927177094059622,1.0392174109415642,0.501400392418617,-0.14875972970905,0.2375,0.5375,0.225
granite_sparse,RQD_borehole_direct,RQD_face_scanline,80,99.79845535747488,99.95252783318199,-0.15407247570712118,0.23821506259109473,0.5158555227845598,0.0,-0.04947723150942351,0.075,0.2125,0.7125
granite_sparse_favorable,RQD_borehole_direct,RQD_face_scanline,80,99.70557588010519,99.99633662089495,-0.29076074078976555,0.29076074078976555,0.5966583955634468,0.0,0.07115119047444965,0.0,0.35,0.65
granite_sparse_unfavorable,RQD_borehole_direct,RQD_face_scanline,80,99.9824993885279,99.92240171549402,0.060097673033890506,0.08144648109013293,0.25538623649732195,0.0,0.27793720607409633,0.15,0.0125,0.8375
granite_dense_unfavorable,RQD_borehole_hudson,RQD_face_scanline,80,99.86522637492365,98.02758719486208,1.837639180061559,1.842652223090607,2.230315022330557,1.6782696634463505,0.2517916150883007,0.975,0.025,0.0
granite_good_dense,RQD_borehole_hudson,RQD_face_scanline,80,98.99323915389611,99.97603838267936,-0.9827992287832485,0.9832445839483006,1.112622289161419,0.8846709891450715,-0.04304371815639042,0.0125,0.9875,0.0
granite_medium,RQD_borehole_hudson,RQD_face_scanline,80,99.58486441306539,99.80133469414174,-0.21647028107634866,0.4240871546971995,0.5016029414756654,0.3840110946758841,-0.12897978976901148,0.25,0.725,0.025
granite_sparse,RQD_borehole_hudson,RQD_face_scanline,80,99.91063295307045,99.95252783318199,-0.04189488011156613,0.11429663032775536,0.19708205376766397,0.0668405737206399,0.27408775911386346,0.075,0.65,0.275
granite_sparse_favorable,RQD_borehole_hudson,RQD_face_scanline,80,99.86384044188853,99.99633662089495,-0.1324961790064343,0.1364809085305012,0.20266289217678551,0.0668405737206399,-0.0018614930418541073,0.0125,0.725,0.2625
granite_sparse_unfavorable,RQD_borehole_hudson,RQD_face_scanline,80,99.98746739242738,99.92240171549402,0.06506567693336791,0.08344683470654388,0.260096781056762,0.0,0.1609665112981085,0.15,0.125,0.725
granite_dense_unfavorable,RQD_borehole_direct,RQD_face_jv,80,99.72548428428004,100.0,-0.2745157157199607,0.2745157157199607,0.6051865840621734,0.0,,0.0,0.2625,0.7375
granite_good_dense,RQD_borehole_direct,RQD_face_jv,80,98.33641286612088,100.0,-1.6635871338791097,1.6635871338791097,2.1065381664484724,1.4942275217591003,,0.0,0.875,0.125
granite_medium,RQD_borehole_direct,RQD_face_jv,80,99.32108355812832,100.0,-0.6789164418716902,0.6789164418716902,1.0659261699108245,0.35005822795041297,,0.0,0.625,0.375
granite_sparse,RQD_borehole_direct,RQD_face_jv,80,99.79845535747488,100.0,-0.20154464252512802,0.20154464252512802,0.4857288413310525,0.0,,0.0,0.225,0.775
