column,exists,count,mean,std,min,p10,p25,p50,p75,p90,max
RQD_borehole_direct,True,480,99.47825188910619,0.9060139189291068,93.84375382746568,98.31759503732377,99.12649842853337,100.0,100.0,100.0,100.0
RQD_borehole_hudson,True,480,99.70087845487859,0.4244071054821265,97.413719545283,99.1358548650228,99.61598890532412,99.86631885255872,100.0,100.0,100.0
RQD_face_scanline,True,480,99.61270440687571,0.9070548819996909,92.09472088093489,98.44711826524183,99.85820203344483,100.0,100.0,100.0,100.0
RQD_face_jv,True,480,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
RQD_face_conservative,True,480,99.61270440687571,0.9070548819996909,92.09472088093489,98.44711826524183,99.85820203344483,100.0,100.0,100.0,100.0
