density_regime,predictor,target,n,pred_mean,target_mean,bias,mae,rmse,median_abs_error,corr,overestimation_rate,underestimation_rate,equal_rate
low_density,RQD_borehole_direct,RQD_face_scanline,169,99.84773935296613,99.96154816158072,-0.1138088086145845,0.18078151593931235,0.42501601785808085,0.0,-0.0056267034023760355,0.0650887573964497,0.1893491124260355,0.7455621301775148
mid_density,RQD_borehole_direct,RQD_face_scanline,153,99.38408405563864,99.91095258958343,-0.5268685339448013,0.6373561989306289,1.1681693990322575,0.042464819963541345,-0.0685069690673734,0.12418300653594772,0.40522875816993464,0.47058823529411764
high_density,RQD_borehole_direct,RQD_face_scanline,158,99.1742284532088,98.95076411257548,0.22346434063331777,1.5867905498369836,2.00156700155489,1.3534424313738995,-0.3815628404444619,0.4936708860759494,0.4620253164556962,0.04430379746835443
low_density,RQD_borehole_hudson,RQD_face_scanline,169,99.92910926039664,99.96154816158072,-0.03243890118406285,0.0992609790792257,0.2098594824845925,0.0668405737206399,0.03541129530455535,0.07100591715976332,0.48520710059171596,0.4437869822485207
mid_density,RQD_borehole_hudson,RQD_face_scanline,153,99.62617660737223,99.91095258958343,-0.2847759822112027,0.3925736690512385,0.5921576028865917,0.25032994723460433,-0.05469108007999536,0.12418300653594772,0.6928104575163399,0.1830065359477124
high_density,RQD_borehole_hudson,RQD_face_scanline,158,99.52909602789069,98.95076411257548,0.5783319153152339,1.3284670252838224,1.7207220954567828,1.0453538580280934,-0.4753414224484251,0.5506329113924051,0.44936708860759494,0.0
low_density,RQD_borehole_direct,RQD_face_jv,169,99.84773935296613,100.0,-0.15226064703388364,0.15226064703388364,0.3962354255758927,0.0,,0.0,0.1952662721893491,0.8047337278106509
mid_density,RQD_borehole_direct,RQD_face_jv,153,99.38408405563864,100.0,-0.6159159443613638,0.6159159443613638,1.1728934047909223,0.0,,0.0,0.43790849673202614,0.5620915032679739
high_density,RQD_borehole_direct,RQD_face_jv,158,99.1742284532088,100.0,-0.8257715467911967,0.8257715467911967,1.3473986810715413,0.350755976678343,,0.0,0.5632911392405063,0.43670886075949367
low_density,RQD_borehole_hudson,RQD_face_jv,169,99.92910926039664,100.0,-0.07089073960336198,0.07089073960336198,0.12752515859555724,0.0668405737206399,,0.0,0.5207100591715976,0.47928994082840237
mid_density,RQD_borehole_hudson,RQD_face_jv,153,99.62617660737223,100.0,-0.37382339262776526,0.37382339262776526,0.58285312440918,0.20052172116187705,,0.0,0.7908496732026143,0.20915032679738563
high_density,RQD_borehole_hudson,RQD_face_jv,158,99.52909602789069,100.0,-0.4709039721092804,0.4709039721092804,0.6866738452668385,0.3171705209552158,,0.0,0.8607594936708861,0.13924050632911392
