predictor,target,n,pred_mean,target_mean,bias,mae,rmse,median_abs_error,corr,overestimation_rate,underestimation_rate,equal_rate
RQD_borehole_direct,RQD_face_scanline,480,99.47825188910619,99.61270440687571,-0.13445251776948994,0.7891260031341113,1.3480738418814533,0.27716701264969146,-0.09696470687872287,0.225,0.34791666666666665,0.4270833333333333
RQD_borehole_direct,RQD_face_jv,480,99.47825188910619,100.0,-0.5217481108938001,0.5217481108938001,1.0446876016159885,0.0,,0.0,0.39375,0.60625
RQD_borehole_direct,RQD_face_conservative,480,99.47825188910619,99.61270440687571,-0.13445251776948994,0.7891260031341113,1.3480738418814533,0.27716701264969146,-0.09696470687872287,0.225,0.34791666666666665,0.4270833333333333
RQD_borehole_hudson,RQD_face_scanline,480,99.70087845487859,99.61270440687571,0.08817404800288828,0.5973680558834846,1.0497144760495605,0.25032994723460433,-0.12149304522121111,0.24583333333333332,0.5395833333333333,0.21458333333333332
RQD_borehole_hudson,RQD_face_jv,480,99.70087845487859,100.0,-0.29912154512142203,0.29912154512142203,0.51886398703441,0.1336811474412798,,0.0,0.71875,0.28125
RQD_borehole_hudson,RQD_face_conservative,480,99.70087845487859,99.61270440687571,0.08817404800288828,0.5973680558834846,1.0497144760495605,0.25032994723460433,-0.12149304522121111,0.24583333333333332,0.5395833333333333,0.21458333333333332
