case_name,seed,n_faces,Q_ratio_mean,Q_ratio_std,Q_ratio_median,Q_log_ratio_mean,Q_log_ratio_std,Q_correlation,Q_match_strict,Q_match_normal,Q_match_loose,Qp_ratio_mean,Qp_ratio_std,Qp_ratio_median,Qp_correlation,Qp_match_strict,Qp_match_normal,Qp_match_loose,Q_log_RMSE,diagnostic_face_rqd_mean,diagnostic_face_rqd_min_dir,diagnostic_bh_rqd_mean,diagnostic_face_rqd_scanline_mean,diagnostic_face_rqd_jv_mean,diagnostic_face_rqd_conservative_mean,diagnostic_bh_rqd_direct_mean,diagnostic_bh_rqd_hudson_mean,diagnostic_lambda_borehole_mean,diagnostic_lambda_face_scanline_mean,diagnostic_face_joints_mean,diagnostic_miss_ratio_union_mean,diagnostic_miss_ratio_union_std,diagnostic_detection_ratio_union_mean,diagnostic_detection_ratio_union_std,diagnostic_face_fracture_density_mean,diagnostic_face_fracture_density_std,diagnostic_bh_fracture_frequency_mean,diagnostic_bh_fracture_frequency_std,diagnostic_bh_union_fracture_frequency_mean,diagnostic_bh_union_fracture_frequency_std,diagnostic_face_orientation_bias_mean,diagnostic_face_orientation_bias_std,diagnostic_bh_union_orientation_bias_mean,diagnostic_bh_union_orientation_bias_std,diagnostic_orientation_bias_gap_mean,diagnostic_orientation_bias_gap_std,case_path,case_name_meta,quality_regime,density_regime,orientation_regime,anisotropy_regime,cost_fp,cost_fn
scenario_03_sparse_large,40,3,0.9321450702242823,0.384673824325914,1.0282096471310778,-0.07820988517494243,0.21620948118950647,-0.5429188248046778,33.33333333333333,66.66666666666666,66.66666666666666,0.8332973865943037,0.23575309676137457,1.0,nan,66.66666666666666,66.66666666666666,66.66666666666666,0.2299202598626603,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.4714045207910317,0.0,0.0,0.004244131815783875,0.006002108774380708,0.0,0.0,0.0,0.0,0.10767856811412502,0.1522804914039107,0.0,0.0,0.10767856811412502,0.1522804914039107,cases/scenario_03_sparse_large.yaml,scenario_03_sparse_large,sparse_large,sparse,broad,unknown,1,5
scenario_03_sparse_large,41,3,1.0446456072387555,0.29270330536783806,1.01959968141288,0.001291049775160369,0.12505389694541325,-0.7271148769833584,33.33333333333333,100.0,100.0,1.0970829831707176,0.1372960714756679,1.0,nan,66.66666666666666,100.0,100.0,0.12506056113242087,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.4714045207910317,0.0,0.0,0.004244131815783875,0.006002108774380708,0.0,0.0,0.0,0.0,0.30776966001706313,0.4352520272830872,0.0,0.0,0.30776966001706313,0.4352520272830872,cases/scenario_03_sparse_large.yaml,scenario_03_sparse_large,sparse_large,sparse,broad,unknown,1,5
scenario_03_sparse_large,42,3,0.8348803662413641,0.06753350567233955,0.8440188373316938,-0.07981912365906063,0.035546140385324644,0.016281266871567807,66.66666666666666,100.0,100.0,1.0,0.0,1.0,nan,100.0,100.0,100.0,0.08737631600149792,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cases/scenario_03_sparse_large.yaml,scenario_03_sparse_large,sparse_large,sparse,broad,unknown,1,5
scenario_03_sparse_large,43,3,1.0166954129655645,0.0267407138148887,1.002599321671455,0.007042267964053828,0.011329819402146375,-0.9998609984074291,100.0,100.0,100.0,1.0,0.0,1.0,nan,100.0,100.0,100.0,0.013340102914250373,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cases/scenario_03_sparse_large.yaml,scenario_03_sparse_large,sparse_large,sparse,broad,unknown,1,5
scenario_03_sparse_large,44,3,1.4331904650007399,0.35339452956057477,1.5842987872940675,0.1411084218537226,0.11876684760943607,-0.7656615445093652,33.33333333333333,33.33333333333333,100.0,1.5410972319781517,0.38261352201302135,1.8116458479672273,nan,33.33333333333333,33.33333333333333,100.0,0.18443738994339284,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.4714045207910317,0.0,0.0,0.00848826363156775,0.006002108774380707,0.0,0.0,0.0,0.0,0.6006684384205765,0.42473672605192375,0.0,0.0,0.6006684384205765,0.42473672605192375,cases/scenario_03_sparse_large.yaml,scenario_03_sparse_large,sparse_large,sparse,broad,unknown,1,5
scenario_03_sparse_large,45,3,0.6365848809437895,0.2180696343878357,0.5116418699989831,-0.21950652944511373,0.13884276207221485,0.49713818595851333,33.33333333333333,33.33333333333333,66.66666666666666,0.6598887169504734,0.2404949946023775,0.48983307542571014,nan,33.33333333333333,33.33333333333333,33.33333333333333,0.2597314556400134,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.4714045207910317,0.0,0.0,0.00848826363156775,0.006002108774380707,0.0,0.0,0.0,0.0,0.24647993307617347,0.17428763210456868,0.0,0.0,0.24647993307617347,0.17428763210456868,cases/scenario_03_sparse_large.yaml,scenario_03_sparse_large,sparse_large,sparse,broad,unknown,1,5
scenario_03_sparse_large,46,3,1.0363322673899111,0.12543564106859423,1.011414241966519,0.012358425140032972,0.052057631619833934,0.6095171755156211,100.0,100.0,100.0,1.0,0.0,1.0,nan,100.0,100.0,100.0,0.05350446412971663,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cases/scenario_03_sparse_large.yaml,scenario_03_sparse_large,sparse_large,sparse,broad,unknown,1,5
scenario_03_sparse_large,47,3,1.0487242091958897,0.08522332005215172,1.02036117699023,0.01925641958212565,0.03474973859356821,-0.2983016860279776,100.0,100.0,100.0,1.0,0.0,1.0,nan,100.0,100.0,100.0,0.03972850396685227,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cases/scenario_03_sparse_large.yaml,scenario_03_sparse_large,sparse_large,sparse,broad,unknown,1,5
scenario_03_sparse_large,48,3,0.9713261849644312,0.06499431947474,0.9807766741181639,-0.013619815574616187,0.029342859342313628,0.5922288090149849,100.0,100.0,100.0,1.0,0.0,1.0,nan,100.0,100.0,100.0,0.03234969506300422,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cases/scenario_03_sparse_large.yaml,scenario_03_sparse_large,sparse_large,sparse,broad,unknown,1,5
scenario_03_sparse_large,49,3,0.8909403940219459,0.043575695343473164,0.8908133035817218,-0.05067166242510542,0.02126761115158863,0.991708619517133,100.0,100.0,100.0,0.9445572448383479,0.0784078962849393,1.0,1.0,100.0,100.0,100.0,0.054953877543072585,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.97771980875979,0.047619047619047616,0.03333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.4714045207910317,0.004244131815783875,0.006002108774380708,0.047619047619047616,0.06734350297014738,0.047619047619047616,0.06734350297014738,0.16341308327561688,0.23110099863758138,0.16341308327561688,0.23110099863758138,0.0,0.0,cases/scenario_03_sparse_large.yaml,scenario_03_sparse_large,sparse_large,sparse,broad,unknown,1,5
