case_name,seed,face_x_idx,face_x_coord,borehole_name,Q_face_mean,Qp_face_mean,Q_bh_mean,Q_bh_median,Qp_bh_mean,Qp_bh_median,RQD_bh_mean,Jn_bh_mean,RQD_borehole_direct_mean,RQD_borehole_direct_median,RQD_borehole_hudson_mean,RQD_borehole_hudson_median,lambda_borehole_mean,borehole_n_intersections_sum,RQD_face_scanline,RQD_face_jv,RQD_face_conservative,lambda_face_scanline,face_scanline_n_intersections,Jv_face,Jv_method,Jr_bh_mean,Ja_bh_mean,Jw_bh_mean,SRF_bh_mean,Q_ratio_bh_to_face,Qp_ratio_bh_to_face,face_fracture_count,bh_fracture_count,common_fracture_count,missed_fracture_count,miss_ratio,detection_ratio,bh_window_length,bh_fracture_frequency,face_fracture_density,bh_union_fracture_frequency,common_fracture_density,missed_fracture_density,orientation_bias_bh,face_orientation_bias,orientation_bias_gap_to_face,Q_match_strict,Q_match_normal,Q_match_loose,Qp_match_strict,Qp_match_normal,Qp_match_loose,case_path,case_name_meta,quality_regime,density_regime,orientation_regime,anisotropy_regime,cost_fp,cost_fn
scenario_03_sparse_large,43,20,20.5,Center,14.658914440948646,16.66666666666666,14.697017674935008,14.403364442947234,16.66666666666666,16.666666666666664,100.0,2.0,100.0,100.0,100.0,100.0,0.0,0,100.0,100.0,100.0,0.0,0,0.05,P32_derived_Jv_proxy,1.0,3.0,0.7675669163349912,0.8959169352762667,1.002599321671455,1.0,0,0,0,0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,cases/scenario_03_sparse_large.yaml,scenario_03_sparse_large,sparse_large,sparse,broad,unknown,1,5
scenario_03_sparse_large,43,30,30.5,Center,14.586390175744496,16.66666666666666,15.376007137270411,13.082615950359115,16.66666666666666,16.666666666666664,100.0,2.0,100.0,100.0,100.0,100.0,0.0,0,100.0,100.0,100.0,0.0,0,0.05,P32_derived_Jv_proxy,1.0,3.0,0.7844426100891507,0.9205059872507112,1.0541338159758649,1.0,0,0,0,0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,cases/scenario_03_sparse_large.yaml,scenario_03_sparse_large,sparse_large,sparse,broad,unknown,1,5
scenario_03_sparse_large,44,10,10.5,Center,13.904885490787182,16.66666666666666,13.14116947907252,13.15088608867619,16.66666666666666,16.666666666666664,100.0,2.0,100.0,100.0,100.0,100.0,0.0,0,100.0,100.0,100.0,0.0,0,0.05,P32_derived_Jv_proxy,1.0,3.0,0.8097820186114705,1.1524995211685758,0.9450757065046907,1.0,0,0,0,0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,cases/scenario_03_sparse_large.yaml,scenario_03_sparse_large,sparse_large,sparse,broad,unknown,1,5
scenario_03_sparse_large,44,20,20.5,Center,8.511920186067197,9.199737733159953,13.485424828330153,13.766131991484174,16.66666666666666,16.666666666666664,100.0,2.0,100.0,100.0,100.0,100.0,0.0,0,100.0,100.0,100.0,0.0,0,0.05,P32_derived_Jv_proxy,1.0,3.0,0.8048331815063978,1.0172143625861205,1.5842987872940675,1.8116458479672273,1,0,0,1,1.0,0.0,7.0,0.0,0.012732395447351627,0.0,0.0,0.012732395447351627,0.0,0.9010026576308647,0.9010026576308647,0,0,1,0,0,1,cases/scenario_03_sparse_large.yaml,scenario_03_sparse_large,sparse_large,sparse,broad,unknown,1,5
scenario_03_sparse_large,44,30,30.5,Center,8.096956760598523,9.199737733159953,14.333207766789927,11.942262633954053,16.66666666666666,16.666666666666664,100.0,2.0,100.0,100.0,100.0,100.0,0.0,0,100.0,100.0,100.0,0.0,0,0.05,P32_derived_Jv_proxy,1.0,3.0,0.8373758707606299,1.0355057161517147,1.770196901203462,1.8116458479672273,1,0,0,1,1.0,0.0,7.0,0.0,0.012732395447351627,0.0,0.0,0.012732395447351627,0.0,0.9010026576308647,0.9010026576308647,0,0,1,0,0,1,cases/scenario_03_sparse_large.yaml,scenario_03_sparse_large,sparse_large,sparse,broad,unknown,1,5
scenario_03_sparse_large,45,10,10.5,Center,14.558527205974054,16.66666666666666,13.732120930458374,13.221773077127876,16.66666666666666,16.666666666666664,100.0,2.0,100.0,100.0,100.0,100.0,0.0,0,100.0,100.0,100.0,0.0,0,0.05,P32_derived_Jv_proxy,1.0,3.0,0.7406953331156718,0.9438091422844682,0.9432355853154867,1.0,0,0,0,0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,cases/scenario_03_sparse_large.yaml,scenario_03_sparse_large,sparse_large,sparse,broad,unknown,1,5
scenario_03_sparse_large,45,20,20.5,Center,30.238226196202536,34.02519654717434,15.471142596477303,15.646705878862196,16.66666666666666,16.666666666666664,100.0,2.0,100.0,100.0,100.0,100.0,0.0,0,100.0,100.0,100.0,0.0,0,0.05,P32_derived_Jv_proxy,1.0,3.0,0.7680191966405924,0.9245737855503283,0.5116418699989831,0.48983307542571014,1,0,0,1,1.0,0.0,7.0,0.0,0.012732395447351627,0.0,0.0,0.012732395447351627,0.0,0.3697198996142602,0.3697198996142602,0,0,1,0,0,0,cases/scenario_03_sparse_large.yaml,scenario_03_sparse_large,sparse_large,sparse,broad,unknown,1,5
scenario_03_sparse_large,45,30,30.5,Center,30.15307706993992,34.02519654717434,13.715946892554559,12.345076367058406,16.66666666666666,16.666666666666664,100.0,2.0,100.0,100.0,100.0,100.0,0.0,0,100.0,100.0,100.0,0.0,0,0.05,P32_derived_Jv_proxy,1.0,3.0,0.8249786684996572,1.08578062856754,0.4548771875168987,0.48983307542571014,1,0,0,1,1.0,0.0,7.0,0.0,0.012732395447351627,0.0,0.0,0.012732395447351627,0.0,0.3697198996142602,0.3697198996142602,0,0,0,0,0,0,cases/scenario_03_sparse_large.yaml,scenario_03_sparse_large,sparse_large,sparse,broad,unknown,1,5
scenario_03_sparse_large,46,10,10.5,Center,14.592484572913493,16.66666666666666,17.524038282256747,17.233418116784534,16.66666666666666,16.666666666666664,100.0,2.0,100.0,100.0,100.0,100.0,0.0,0,100.0,100.0,100.0,0.0,0,0.05,P32_derived_Jv_proxy,1.0,3.0,0.8055641907029086,0.9055323831550904,1.2008947615942518,1.0,0,0,0,0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,cases/scenario_03_sparse_large.yaml,scenario_03_sparse_large,sparse_large,sparse,broad,unknown,1,5
scenario_03_sparse_large,46,20,20.5,Center,13.980124218277842,16.66666666666666,14.13969673882726,13.271391890692813,16.66666666666666,16.666666666666664,100.0,2.0,100.0,100.0,100.0,100.0,0.0,0,100.0,100.0,100.0,0.0,0,0.05,P32_derived_Jv_proxy,1.0,3.0,0.7947490891692393,0.9692890113948184,1.011414241966519,1.0,0,0,0,0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,cases/scenario_03_sparse_large.yaml,scenario_03_sparse_large,sparse_large,sparse,broad,unknown,1,5
