case_name,seed,face_x_idx,face_x_coord,borehole_name,Q_face_mean,Qp_face_mean,Q_bh_mean,Q_bh_median,Qp_bh_mean,Qp_bh_median,RQD_bh_mean,Jn_bh_mean,RQD_borehole_direct_mean,RQD_borehole_direct_median,RQD_borehole_hudson_mean,RQD_borehole_hudson_median,lambda_borehole_mean,borehole_n_intersections_sum,RQD_face_scanline,RQD_face_jv,RQD_face_conservative,lambda_face_scanline,face_scanline_n_intersections,Jv_face,Jv_method,Jr_bh_mean,Ja_bh_mean,Jw_bh_mean,SRF_bh_mean,Q_ratio_bh_to_face,Qp_ratio_bh_to_face,face_fracture_count,bh_fracture_count,common_fracture_count,missed_fracture_count,miss_ratio,detection_ratio,bh_window_length,bh_fracture_frequency,face_fracture_density,bh_union_fracture_frequency,common_fracture_density,missed_fracture_density,orientation_bias_bh,face_orientation_bias,orientation_bias_gap_to_face,Q_match_strict,Q_match_normal,Q_match_loose,Qp_match_strict,Qp_match_normal,Qp_match_loose
granite_dense_p32_20,40,10,10.5,Center,7.574695954928224,8.383064690861417,7.2642716225953405,6.351107313470006,9.584595114263644,9.727001082414352,77.59780327215842,4.0,77.59780327215842,78.26522790085102,72.20389812833784,77.24823535071383,10.428571428571429,73,69.90019213067576,49.0,49.0,10.7,107,20.0,P32_derived_Jv_proxy,1.2275333229922583,2.488974727206404,0.8190682357572294,1.1443117334358373,0.9590182451969025,1.1433283014876463,1498,73,19,1479,0.9873164218958611,0.012683578104138851,7.0,10.428571428571429,19.073128380132736,10.428571428571429,0.2419155134996809,18.831212866633056,0.28982712192183013,0.34363756700396964,0.0538104450821395,1,1,1,1,1,1
granite_dense_p32_20,40,20,20.5,Center,6.630593813911814,8.351974408489397,6.515353751873248,6.031847555479418,7.785537435076322,7.887777718192845,63.39455259005418,4.0,63.39455259005418,67.00427954166868,72.73438669271991,77.24823535071383,10.285714285714286,72,70.36570595388908,49.0,49.0,11.4,114,20.0,P32_derived_Jv_proxy,1.2531121734065562,2.546204509024439,0.7437915959255893,0.969117620128164,0.9826199484883575,0.9321792733419636,1604,72,22,1582,0.986284289276808,0.01371571072319202,7.0,10.285714285714286,20.42276229755201,10.285714285714286,0.2801126998417358,20.142649597710275,0.2754146128031524,0.3441493554771532,0.06873474267400081,1,1,1,1,1,1
granite_dense_p32_20,40,30,30.5,Center,7.144605121939143,8.152271279553919,9.190585693316123,9.117406613875307,7.7184257879639375,7.862748530784074,63.582560367621554,4.0,63.582560367621554,62.181729160155456,68.19584721251964,69.90292757659671,11.571428571428571,81,67.21622077247513,49.0,49.0,11.8,118,20.0,P32_derived_Jv_proxy,1.1808721226478032,2.427325366340541,0.8622720667942148,0.8314782712972022,1.2863672010499685,0.9467822553110965,1539,81,28,1511,0.98180636777128,0.018193632228719947,7.0,11.571428571428571,19.595156593474155,11.571428571428571,0.35650707252584557,19.238649520948307,0.3301486228022943,0.350398072612762,0.020249449810467723,0,1,1,1,1,1
granite_dense_p32_20,41,10,10.5,Center,6.816771562214858,7.880916822241367,6.384429177880334,6.917221342569741,7.620407726845614,7.802492012319055,59.19066220267987,4.0,59.19066220267987,61.060335038880886,63.781215091447436,59.18327134598555,12.714285714285714,89,66.13991798084271,49.0,49.0,11.6,116,20.0,P32_derived_Jv_proxy,1.2183235263039947,2.389041865476223,0.8055916184226878,0.9860304434894659,0.936576665304294,0.9669443160901598,1510,89,30,1480,0.9801324503311258,0.019867549668874173,7.0,12.714285714285714,19.225917125500956,12.714285714285714,0.3819718634205488,18.843945262080407,0.27896792412763116,0.352752415832692,0.07378449170506085,1,1,1,1,1,1
granite_dense_p32_20,41,20,20.5,Center,6.5648145281083545,7.89737004502546,7.846186196185488,7.319641754571322,8.77777649708032,8.865635120601961,68.56190236373284,4.0,68.56190236373284,74.42550053399835,72.37746472551449,69.90292757659671,10.285714285714286,72,66.17244654659027,49.0,49.0,12.1,121,20.0,P32_derived_Jv_proxy,1.2393928838297945,2.434927513622038,0.8095182796292922,0.9271311344271851,1.195187794352868,1.1114809673391746,1479,72,23,1456,0.9844489519945909,0.01555104800540906,7.0,10.285714285714286,18.831212866633056,10.285714285714286,0.2928450952890874,18.538367771343967,0.28590113390951843,0.35020681074586757,0.06430567683634913,1,1,1,1,1,1
granite_dense_p32_20,41,30,30.5,Center,7.556494998937792,8.207422804918782,5.2982424151945136,5.559987936798511,8.117842935928959,8.366819149142424,65.94855877372036,4.0,65.94855877372036,63.23606708891436,69.44345863115316,73.57588823428847,11.142857142857142,78,67.32622519891154,49.0,49.0,10.3,103,20.0,P32_derived_Jv_proxy,1.191784263225072,2.4398030100628856,0.7718460786688566,1.220577777324236,0.7011507869639669,0.989085505752654,1477,78,22,1455,0.9851049424509141,0.014895057549085985,7.0,11.142857142857142,18.805748075738354,11.142857142857142,0.2801126998417358,18.525635375896616,0.25337322496498005,0.345024345255458,0.09165112029047795,0,1,1,1,1,1
granite_dense_p32_20,42,10,10.5,Center,7.053320163982934,7.900562129641622,4.718627960056459,3.9577093899870706,6.551489515334226,6.7909728054164855,51.58918362549492,4.0,51.58918362549492,56.245681794050206,60.34658971123901,55.78254003710746,13.857142857142858,97,65.03893480688959,49.0,49.0,11.5,115,20.0,P32_derived_Jv_proxy,1.2413607837429808,2.4992398223653565,0.8150001345730925,1.1321174642336316,0.6689938710214312,0.8292434649370207,1455,97,36,1419,0.9752577319587629,0.024742268041237112,7.0,13.857142857142858,18.525635375896616,13.857142857142858,0.45836623610465854,18.067269139791957,0.2679098642805353,0.3395124879236622,0.07160262364312686,0,0,1,1,1,1
granite_dense_p32_20,42,20,20.5,Center,9.008709801137327,9.530670144837812,6.158893249831948,5.8980632383215434,8.091976520869887,7.041656669386636,63.95920813801581,4.0,63.95920813801581,60.27032142868496,64.04731582299779,62.6823123978229,12.714285714285714,89,80.28975004101729,49.0,49.0,10.1,101,20.0,P32_derived_Jv_proxy,1.2054166078156243,2.413044574482142,0.7644015684490808,0.9881928594745883,0.6836598564929246,0.8490459115566833,1557,89,28,1529,0.9820166987797045,0.01798330122029544,7.0,12.714285714285714,19.824339711526484,12.714285714285714,0.35650707252584557,19.467832639000637,0.28239144648455416,0.3420874295040033,0.05969598301944912,0,1,1,1,1,1
granite_dense_p32_20,42,30,30.5,Center,7.130602852794329,7.811484378767616,5.704430535486288,4.938451029498426,8.155295091504575,7.811040171392728,67.33926681419277,4.0,67.33926681419277,64.54818151230386,71.42270252323242,66.26272662068445,10.571428571428571,74,65.35181953367307,49.0,49.0,11.1,111,20.0,P32_derived_Jv_proxy,1.1986792186038657,2.5207129856530908,0.7768853968134881,1.2377868911251515,0.7999927430050104,1.0440134929631903,1583,74,31,1552,0.9804169298799748,0.01958307012002527,7.0,10.571428571428571,20.155381993157626,10.571428571428571,0.39470425886790045,19.760677734289725,0.2493131653421239,0.3486117476356051,0.09929858229348121,0,1,1,1,1,1
granite_dense_p32_20,43,10,10.5,Center,7.094372382245464,8.05968708542797,7.96013973991736,6.542472668887807,9.013458613603111,8.968005174528837,73.99996397471708,4.0,73.99996397471708,67.3861780514077,71.16536030425634,69.90292757659671,10.714285714285714,75,67.2276501848143,49.0,49.0,11.5,115,20.0,P32_derived_Jv_proxy,1.2080156173616774,2.492981050837554,0.7595460118482924,0.9278134162271445,1.1220357927416647,1.1183385307724383,1542,75,15,1527,0.9902723735408561,0.009727626459143969,7.0,10.714285714285714,19.633353779816208,10.714285714285714,0.1909859317102744,19.442367848105935,0.2959401381228792,0.35816827512846494,0.062228137005585715,1,1,1,1,1,1
