case_name,seed,face_x_idx,face_x_coord,Q_face_mean,Q_face_median,Qp_face_mean,Qp_face_median,Q_borehole_mean,Qp_borehole_mean,Q_ratio,Q_difference,Q_log_ratio,Qp_ratio,Qp_difference,face_joints_count,face_rqd_practical,face_rqd_mean,face_rqd_min_dir,face_joint_count,bh_union_fracture_count,common_union_fracture_count,missed_union_fracture_count,miss_ratio_union,detection_ratio_union,face_area,window_length,face_fracture_density,bh_fracture_frequency_mean,bh_union_fracture_frequency,common_fracture_density,missed_fracture_density,face_orientation_bias,bh_union_orientation_bias,orientation_bias_gap,Q_match_strict,Q_match_normal,Q_match_loose,Qp_match_strict,Qp_match_normal,Qp_match_loose,face_RQD_mean,face_RQD_median,face_RQD_std,face_RQD_min,face_RQD_max,face_RQD_n_points,face_Jn_mean,face_Jn_median,face_Jn_std,face_Jn_min,face_Jn_max,face_Jn_n_points,face_Jr_mean,face_Jr_median,face_Jr_std,face_Jr_min,face_Jr_max,face_Jr_n_points,face_Ja_mean,face_Ja_median,face_Ja_std,face_Ja_min,face_Ja_max,face_Ja_n_points,face_Jw_mean,face_Jw_median,face_Jw_std,face_Jw_min,face_Jw_max,face_Jw_n_points,face_SRF_mean,face_SRF_median,face_SRF_std,face_SRF_min,face_SRF_max,face_SRF_n_points,face_Q_mean,face_Q_median,face_Q_std,face_Q_min,face_Q_max,face_Q_n_points,face_Qprime_mean,face_Qprime_median,face_Qprime_std,face_Qprime_min,face_Qprime_max,face_Qprime_n_points
granite_2sets,42,10,10.5,21.83809025400908,20.279186790347868,25.24025741405072,25.24025741405072,25.852964973433835,30.134440995421876,1.1838473361326864,4.014874719424753,0.07329570124675944,1.1939038695638131,4.894183581371156,45,94.51598178840861,99.68275353879285,99.20213755604388,45,2,0,45,1.0,0.0,78.53981633974483,7.0,0.5729577951308232,0.2857142857142857,0.2857142857142857,0.0,0.5729577951308232,0.5344571919619878,0.4819422569802053,0.0525149349817825,1,1,1,1,1,1,94.51598178840861,94.51598178840861,0.5772825457915249,99.20213755604388,100.0,81,4.0,4.0,0.0,4.0,4.0,81,1.4846719507755748,1.4846719507755748,0.34793676768039866,0.8699415541312703,2.231117951849778,81,1.3898949677821946,1.3898949677821946,0.395229024601449,0.7875000000000001,2.183043959148247,81,0.8058327165278021,0.8181410398520713,0.09698859505082212,0.5852422834053733,1.0,81,1.0105751285485172,1.0472893591873296,0.2692197399597699,0.5,1.590837079968735,81,21.83809025400908,20.279186790347868,7.316992117039716,11.158849936369418,50.12429380987745,81,25.24025741405072,25.24025741405072,0.0,25.24025741405072,25.24025741405072,81
granite_2sets,42,20,20.5,20.932387134428737,18.428176936374868,24.037970289992334,24.03797028999234,34.658792907540665,34.0,1.655749661276582,13.726405773111928,0.21899467487355273,1.414428905179034,9.962029710007666,38,94.66292616531602,99.77329456171145,99.45302175036973,38,0,0,38,1.0,0.0,78.53981633974483,7.0,0.4838310269993618,0.0,0.0,0.0,0.4838310269993618,0.5940734146915106,0.0,0.5940734146915106,0,0,1,0,1,1,94.66292616531602,94.66292616531602,0.42513221546860736,99.45302175036973,100.0,81,4.0,4.0,0.0,4.0,4.0,81,1.5117488459450474,1.5117488459450474,0.4012522497878391,0.5,2.1655400113050884,81,1.4883387371913102,1.4883387371913102,0.4403561066808606,0.7875000000000001,2.4292273744782364,81,0.798630632879434,0.8018718996317244,0.08741301252741472,0.5433440278598597,1.0,81,1.0092073471858596,0.9800795884711129,0.29175180259474975,0.5,1.818773120744136,81,20.932387134428737,18.428176936374868,7.643975075641419,10.557521683619482,45.947118703987805,81,24.037970289992334,24.03797028999234,7.105427357601002e-15,24.03797028999234,24.03797028999234,81
granite_2sets,42,30,30.5,20.629355114082493,18.672855310767385,24.336429471340015,24.336429471340015,25.67045048755605,31.862414082399727,1.2443651459580667,5.041095373473556,0.09494783823699504,1.309247690583483,7.525984611059712,43,94.56119529124825,99.71735501395979,99.26921824550314,43,2,0,43,1.0,0.0,78.53981633974483,7.0,0.5474930042361199,0.2857142857142857,0.2857142857142857,0.0,0.5474930042361199,0.5426369154816771,0.5372470659505686,0.005389849531108548,1,1,1,0,1,1,94.56119529124825,94.56119529124825,0.480635496664447,99.26921824550314,100.0,81,4.0,4.0,0.0,4.0,4.0,81,1.429167065507328,1.429167065507328,0.39974057326018764,0.6446361171569309,2.0003721708861795,81,1.388286500125375,1.388286500125375,0.3638704779170021,0.7998895642865049,2.1051823627864596,81,0.7859828510482846,0.7902061459452242,0.09814277936060319,0.41211259942630074,1.0,81,0.9982078557519091,1.0207631939712856,0.25956750463695677,0.5,1.4964035952855428,81,20.629355114082493,18.672855310767385,6.294978619910525,11.0033003999055,36.898185607636854,81,24.336429471340015,24.336429471340015,0.0,24.336429471340015,24.336429471340015,81
granite_2sets,42,40,40.5,20.875047001824825,19.317687614994774,24.055094105927203,24.055094105927207,26.79466600173841,32.21821305864935,1.283573924379481,5.919618999913585,0.10842088588285348,1.3393509464887414,8.163118952722144,44,94.50067431175503,99.7760179888811,99.02195804761264,44,1,0,44,1.0,0.0,78.53981633974483,7.0,0.5602253996834716,0.14285714285714285,0.14285714285714285,0.0,0.5602253996834716,0.5294035203111371,0.3193260396521863,0.21007748065895082,0,1,1,0,1,1,94.50067431175503,94.50067431175503,0.4733779896962922,99.02195804761264,100.0,81,4.0,4.0,0.0,4.0,4.0,81,1.4028431134880184,1.4028431134880184,0.2956037970014618,0.8078264882126804,1.904321284185984,81,1.3777707498715865,1.3777707498715865,0.34153766801519064,0.7875000000000001,2.0369351152224815,81,0.80108886078776,0.7830120710909552,0.10261550287205679,0.5791784315829681,1.0,81,0.9914101247756762,0.9808340827685149,0.2531766761769635,0.5,1.7645533590169384,81,20.875047001824825,19.317687614994774,6.75609272445206,11.0202148254694,44.42376999239944,81,24.055094105927203,24.055094105927207,3.552713678800501e-15,24.055094105927207,24.055094105927207,81
granite_2sets,42,50,50.5,21.952354965114253,19.50924168339146,24.49637252795907,24.496372527959075,30.512459203390353,31.077325685840144,1.3899401340712398,8.5601042382761,0.142996095216386,1.2686501093323048,6.580953157881073,40,94.58584403065065,99.77793397173143,99.24321491253617,40,2,1,39,0.975,0.025,78.53981633974483,7.0,0.5092958178940651,0.2857142857142857,0.2857142857142857,0.012732395447351627,0.4965634224467134,0.5386115957621236,0.3669418528025361,0.17166974295958748,0,1,1,0,1,1,94.58584403065065,94.58584403065065,0.5006995002997738,99.24321491253617,100.0,81,4.0,4.0,0.0,4.0,4.0,81,1.4198426044632484,1.4198426044632484,0.3256540589695644,0.6291348906907218,2.3654213008077485,81,1.3705805929077148,1.3705805929077148,0.35635148261878186,0.7875000000000001,2.006032673811924,81,0.801977084343542,0.8126918194318841,0.09422359011018473,0.575396349393484,1.0,81,1.0039593712621988,1.0038870558080872,0.3151960495864051,0.5,1.850565605707763,81,21.952354965114253,19.50924168339146,8.730870015246111,11.07361721852933,47.22933706943152,81,24.49637252795907,24.496372527959075,3.552713678800501e-15,24.496372527959075,24.496372527959075,81
granite_2sets,42,60,60.5,19.015289983447587,17.56676076861112,21.06887609477713,21.068876094777135,33.76594995044933,38.45653466625537,1.7757262697461824,14.750659967001745,0.24937601960643296,1.8252769864543725,17.38765857147824,58,94.66834684231938,99.82077702192731,99.39606299952851,58,1,1,57,0.9827586206896551,0.017241379310344827,78.53981633974483,7.0,0.7384789359463944,0.14285714285714285,0.14285714285714285,0.012732395447351627,0.7257465404990427,0.47043583610422146,0.6077832093631328,-0.13734737325891133,0,0,1,0,0,1,94.66834684231938,94.66834684231938,0.36758104852505885,99.39606299952851,100.0,81,4.0,4.0,0.0,4.0,4.0,81,1.3498324917456481,1.3498324917456481,0.34030493201898565,0.5255206288364445,2.095399657158939,81,1.5162936306233108,1.5162936306233108,0.33666651808979703,0.8681369207487305,2.123556863715701,81,0.796531347629674,0.8009249700722829,0.08300327805529423,0.5657463866024023,1.0,81,0.9485468535984315,0.9675484791222612,0.23298584419055413,0.5,1.5727726683934522,81,19.015289983447587,17.56676076861112,6.021263833743927,9.136397086562788,40.56691670705838,81,21.06887609477713,21.068876094777135,3.552713678800501e-15,21.068876094777135,21.068876094777135,81
granite_2sets,42,70,70.5,21.266469648484428,19.54105066321348,24.28832184765025,24.288321847650245,31.286205869871868,36.08743207802468,1.4711518360595175,10.01973622138744,0.16765749812508624,1.4857935556184145,11.799110230374435,37,94.87398684417825,99.92767978058431,99.77686676117156,37,3,0,37,1.0,0.0,78.53981633974483,7.0,0.4710986315520102,0.42857142857142855,0.42857142857142855,0.0,0.4710986315520102,0.5349282653772931,0.42212572272622717,0.11280254265106593,0,1,1,0,1,1,94.87398684417825,94.87398684417825,0.23216350170044542,99.77686676117156,100.0,81,4.0,4.0,0.0,4.0,4.0,81,1.429966307210586,1.429966307210586,0.4045966774083566,0.5619364370465523,2.0958942826531977,81,1.3964180550316638,1.3964180550316638,0.3457085678495005,0.7875000000000001,2.0785568577597706,81,0.8058055492208281,0.8141794615669642,0.0996122281003249,0.5807036689543598,1.0,81,0.9987298165939238,1.0016184826170826,0.27952843148427436,0.5,1.7536793343175698,81,21.266469648484428,19.54105066321348,6.7837950547470065,10.872402635941846,41.270348001186356,81,24.28832184765025,24.288321847650245,3.552713678800501e-15,24.288321847650245,24.288321847650245,81
granite_2sets,42,80,80.5,19.281794264169747,16.460336147320326,21.657155427388744,21.657155427388744,35.55965780078824,39.98915505638616,1.8442089627969276,16.27786353661849,0.265810128348861,1.8464638715116684,18.331999628997416,42,94.64442873304498,99.8469953345229,99.29379313780774,42,2,0,42,1.0,0.0,78.53981633974483,7.0,0.5347606087887683,0.2857142857142857,0.2857142857142857,0.0,0.5347606087887683,0.5062870723937827,0.5924438633948674,-0.08615679100108475,0,0,1,0,0,1,94.64442873304498,94.64442873304498,0.369233185302832,99.29379313780774,100.0,81,4.0,4.0,0.0,4.0,4.0,81,1.3570576785691582,1.3570576785691582,0.419274588333721,0.5,2.220685051932906,81,1.4826271757686718,1.4826271757686718,0.37862939533068124,0.7875000000000001,2.2426410376601806,81,0.8352915629243561,0.840021308278835,0.10435776269106348,0.6032036668355003,1.0,81,1.0498513137319603,1.058428281550172,0.3124754782145494,0.5,1.715070482424471,81,19.281794264169747,16.460336147320326,7.720860290554634,8.581733254730423,42.65728134467153,81,21.657155427388744,21.657155427388744,0.0,21.657155427388744,21.657155427388744,81
granite_2sets,43,10,10.5,20.34770005886655,18.402194491230805,23.804830685132284,23.804830685132284,35.41166313883629,37.758495312069726,1.740327557236897,15.063963079969739,0.2406309970827183,1.5861694549103618,13.953664626937442,37,94.62166335028887,99.73917565562766,99.3956137541608,37,3,0,37,1.0,0.0,78.53981633974483,7.0,0.4710986315520102,0.42857142857142855,0.42857142857142855,0.0,0.4710986315520102,0.47374597178100153,0.4157362720483755,0.05800969973262604,0,0,1,0,0,1,94.62166335028887,94.62166335028887,0.43410150579832796,99.3956137541608,100.0,81,4.0,4.0,0.0,4.0,4.0,81,1.3826534458788897,1.3826534458788897,0.34190572691940213,0.5800753529724166,2.002736550962766,81,1.3739749991981736,1.3739749991981736,0.32745542377867815,0.7875000000000001,2.0270308559814234,81,0.8014014062393723,0.8140371538245594,0.10213771782066143,0.5231364227270517,1.0,81,1.0438481419175636,1.0508647323810545,0.3231129883238189,0.5,1.7828850917918175,81,20.34770005886655,18.402194491230805,7.642310154848677,9.518371481788332,41.36975617699341,81,23.804830685132284,23.804830685132284,0.0,23.804830685132284,23.804830685132284,81
granite_2sets,43,20,20.5,19.135216209610604,18.143635508951576,23.48370203444029,23.483702034440295,26.787266273144784,33.01621039875763,1.3998935773556067,7.65205006353418,0.14609502101824834,1.4059201717998862,9.532508364317337,55,94.30527772159913,99.58490510039441,98.79442582730084,55,2,2,53,0.9636363636363636,0.03636363636363636,78.53981633974483,7.0,0.7002817496043394,0.2857142857142857,0.2857142857142857,0.025464790894703253,0.6748169587096362,0.5169911659471665,0.37495199504175347,0.14203917090541307,0,1,1,0,1,1,94.30527772159913,94.30527772159913,0.668094314552741,98.79442582730084,100.0,81,4.0,4.0,0.0,4.0,4.0,81,1.406204788366373,1.406204788366373,0.3886615352689743,0.5,2.1336991462186754,81,1.4117507208387425,1.4117507208387425,0.391250641923314,0.7875000000000001,2.625673388327928,81,0.7779195492674149,0.7792094108697226,0.10401566941795344,0.5525150982087609,1.0,81,1.0283543124605499,1.0457797336449728,0.25305032988175064,0.5,1.525670655885865,81,19.135216209610604,18.143635508951576,6.46096923112356,9.601065137042866,40.609096914720524,81,23.48370203444029,23.483702034440295,3.552713678800501e-15,23.483702034440295,23.483702034440295,81
