case_name,seed,face_x_idx,face_x_coord,borehole_name,Q_face_mean,Qp_face_mean,Q_bh_mean,Q_bh_median,Qp_bh_mean,Qp_bh_median,RQD_bh_mean,Jn_bh_mean,Jr_bh_mean,Ja_bh_mean,Jw_bh_mean,SRF_bh_mean,Q_ratio_bh_to_face,Qp_ratio_bh_to_face,face_fracture_count,bh_fracture_count,common_fracture_count,missed_fracture_count,miss_ratio,detection_ratio,bh_window_length,bh_fracture_frequency,face_fracture_density,bh_union_fracture_frequency,common_fracture_density,missed_fracture_density,orientation_bias_bh,face_orientation_bias,orientation_bias_gap_to_face,Q_match_strict,Q_match_normal,Q_match_loose,Qp_match_strict,Qp_match_normal,Qp_match_loose
granite_2sets,42,10,10.5,Center,21.83809025400908,25.24025741405072,25.852964973433835,25.638238182356613,30.134440995421876,34.3,94.46803168012801,4.0,1.5507326770281937,1.229703913208652,0.8649277138228487,1.0250012572190166,1.1838473361326864,1.1939038695638131,45,2,0,45,1.0,0.0,7.0,0.2857142857142857,0.5729577951308232,0.2857142857142857,0.0,0.5729577951308232,0.4819422569802053,0.5344571919619878,0.0525149349817825,1,1,1,1,1,1
granite_2sets,42,20,20.5,Center,20.932387134428737,24.037970289992334,34.658792907540665,32.686293341246454,34.0,34.3,97.14285714285714,4.0,1.75,1.25,0.8144351795766924,0.8926088927430118,1.655749661276582,1.414428905179034,38,0,0,38,1.0,0.0,7.0,0.0,0.4838310269993618,0.0,0.0,0.4838310269993618,0.0,0.5940734146915106,0.5940734146915106,0,0,1,0,1,1
granite_2sets,42,30,30.5,Center,20.629355114082493,24.336429471340015,25.67045048755605,23.01140581526883,31.862414082399727,33.25,92.58020152141845,4.0,1.7307325865290781,1.2631035444749033,0.8106102889220763,1.1316567898661758,1.2443651459580667,1.309247690583483,43,2,0,43,1.0,0.0,7.0,0.2857142857142857,0.5474930042361199,0.2857142857142857,0.0,0.5474930042361199,0.5372470659505686,0.5426369154816771,0.005389849531108548,1,1,1,0,1,1
granite_2sets,42,40,40.5,Center,20.875047001824825,24.055094105927203,26.79466600173841,27.42404231630912,32.21821305864935,34.3,94.53463760911833,4.0,1.753226826477413,1.2990988529857541,0.8029491566057084,1.009873484150154,1.283573924379481,1.3393509464887414,44,1,0,44,1.0,0.0,7.0,0.14285714285714285,0.5602253996834716,0.14285714285714285,0.0,0.5602253996834716,0.3193260396521863,0.5294035203111371,0.21007748065895082,0,1,1,0,1,1
granite_2sets,42,50,50.5,Center,21.952354965114253,24.49637252795907,30.512459203390353,27.676407157278206,31.077325685840144,34.3,92.87510074607509,4.0,1.6462079348164937,1.243300889310275,0.801914337164499,0.8985959531084314,1.3899401340712398,1.2686501093323048,40,2,1,39,0.975,0.025,7.0,0.2857142857142857,0.5092958178940651,0.2857142857142857,0.012732395447351627,0.4965634224467134,0.3669418528025361,0.5386115957621236,0.17166974295958748,0,1,1,0,1,1
granite_2sets,42,60,60.5,Center,19.015289983447587,21.06887609477713,33.76594995044933,26.571941898214714,38.45653466625537,33.25,94.4039338044577,4.0,1.8873848105671986,1.1982719193253442,0.809268819463607,0.969510772207947,1.7757262697461824,1.8252769864543725,58,1,1,57,0.9827586206896551,0.017241379310344827,7.0,0.14285714285714285,0.7384789359463944,0.14285714285714285,0.012732395447351627,0.7257465404990427,0.6077832093631328,0.47043583610422146,-0.13734737325891133,0,0,1,0,0,1
granite_2sets,42,70,70.5,Center,21.266469648484428,24.28832184765025,31.286205869871868,24.38148931004259,36.08743207802468,34.3,91.7902892458184,4.0,1.739551747033051,1.1434025802564303,0.7891648501805587,1.0533063114087906,1.4711518360595175,1.4857935556184145,37,3,0,37,1.0,0.0,7.0,0.42857142857142855,0.4710986315520102,0.42857142857142855,0.0,0.4710986315520102,0.42212572272622717,0.5349282653772931,0.11280254265106593,0,1,1,0,1,1
granite_2sets,42,80,80.5,Center,19.281794264169747,21.657155427388744,35.55965780078824,26.08110661747757,39.98915505638616,34.3,94.96968712286606,4.0,1.8586706588634743,1.155831483101411,0.7952730469422277,1.030404587958243,1.8442089627969276,1.8464638715116684,42,2,0,42,1.0,0.0,7.0,0.2857142857142857,0.5347606087887683,0.2857142857142857,0.0,0.5347606087887683,0.5924438633948674,0.5062870723937827,-0.08615679100108475,0,0,1,0,0,1
granite_2sets,43,10,10.5,Center,20.34770005886655,23.804830685132284,35.41166313883629,35.37014706521095,37.758495312069726,34.3,95.42131668058798,4.0,1.81999399077082,1.2289017182997237,0.827807401415175,0.9191948836702305,1.740327557236897,1.5861694549103618,37,3,0,37,1.0,0.0,7.0,0.42857142857142855,0.4710986315520102,0.42857142857142855,0.0,0.4710986315520102,0.4157362720483755,0.47374597178100153,0.05800969973262604,0,0,1,0,0,1
granite_2sets,43,20,20.5,Center,19.135216209610604,23.48370203444029,26.787266273144784,23.95326769249336,33.01621039875763,33.25,93.84255998310199,4.0,1.7474613933286718,1.2414602424652195,0.7890776707083306,1.0851433198448603,1.3998935773556067,1.4059201717998862,55,2,2,53,0.9636363636363636,0.03636363636363636,7.0,0.2857142857142857,0.7002817496043394,0.2857142857142857,0.025464790894703253,0.6748169587096362,0.37495199504175347,0.5169911659471665,0.14203917090541307,0,1,1,0,1,1
