case_name,seed,n_faces,Q_ratio_mean,Q_ratio_std,Q_ratio_median,Q_log_ratio_mean,Q_log_ratio_std,Q_correlation,Q_match_strict,Q_match_normal,Q_match_loose,Qp_ratio_mean,Qp_ratio_std,Qp_ratio_median,Qp_correlation,Qp_match_strict,Qp_match_normal,Qp_match_loose,Q_log_RMSE,diagnostic_face_rqd_mean,diagnostic_face_rqd_min_dir,diagnostic_bh_rqd_mean,diagnostic_face_rqd_scanline_mean,diagnostic_face_rqd_jv_mean,diagnostic_face_rqd_conservative_mean,diagnostic_bh_rqd_direct_mean,diagnostic_bh_rqd_hudson_mean,diagnostic_lambda_borehole_mean,diagnostic_lambda_face_scanline_mean,diagnostic_face_joints_mean,diagnostic_miss_ratio_union_mean,diagnostic_miss_ratio_union_std,diagnostic_detection_ratio_union_mean,diagnostic_detection_ratio_union_std,diagnostic_face_fracture_density_mean,diagnostic_face_fracture_density_std,diagnostic_bh_fracture_frequency_mean,diagnostic_bh_fracture_frequency_std,diagnostic_bh_union_fracture_frequency_mean,diagnostic_bh_union_fracture_frequency_std,diagnostic_face_orientation_bias_mean,diagnostic_face_orientation_bias_std,diagnostic_bh_union_orientation_bias_mean,diagnostic_bh_union_orientation_bias_std,diagnostic_orientation_bias_gap_mean,diagnostic_orientation_bias_gap_std,case_path,case_name_meta,quality_regime,density_regime,orientation_regime,anisotropy_regime,cost_fp,cost_fn
granite_dense_p32_05,40,3,1.081216479109569,0.21747025589812896,1.12346967530558,0.0244933588260261,0.09200581528627565,-0.47703645993334587,33.33333333333333,100.0,100.0,1.0359214539699833,0.07679463015610233,1.0047870340354252,0.3231830525831204,100.0,100.0,100.0,0.09521026558660964,95.87628290692527,95.87628290692527,95.93211671231113,95.87628290692527,98.5,95.87628290692527,95.93211671231113,96.97749721174831,2.380952380952381,2.966666666666667,367.3333333333333,0.9833982579497399,0.012097138728156582,0.016601742050260146,0.012097138728156598,4.677033260993831,0.14566711171902977,2.380952380952381,0.9428090415820635,2.380952380952381,0.9428090415820635,0.3468468186656118,0.005396033231034447,0.3015198614843054,0.029251505590875908,0.045326957181306415,0.034533059596740384,cases/granite_rqd_p32_rot_05.yaml,granite_dense_p32_05,medium_to_poor,dense,unfavorable,high,1,5
granite_dense_p32_05,41,3,0.9590544828017791,0.1493720285266328,1.0399029388359662,-0.023893761699517846,0.0720475449471504,-0.7985645087627822,66.66666666666666,100.0,100.0,1.0274384613595353,0.036750326172715966,1.0293532072611424,0.5312289138891515,100.0,100.0,100.0,0.07590626180405016,97.51205331446613,97.51205331446613,95.92330232758519,97.51205331446613,98.5,97.51205331446613,95.92330232758519,96.04946775429003,2.7619047619047623,2.766666666666667,379.3333333333333,0.980532461408912,0.0049122869179818165,0.01946753859108798,0.0049122869179818,4.8298220063620505,0.14342402818653924,2.7619047619047623,0.24281045302822796,2.7619047619047623,0.24281045302822796,0.351206786767927,0.009182209633568446,0.29070697410803525,0.005798627267488276,0.06049981265989172,0.008966969134769652,cases/granite_rqd_p32_rot_05.yaml,granite_dense_p32_05,medium_to_poor,dense,unfavorable,high,1,5
granite_dense_p32_05,42,3,0.735660231840381,0.06749680889717412,0.7645658740564854,-0.13522618032760414,0.041064840465121384,-0.5744336343681148,0.0,66.66666666666666,100.0,0.8870423235777757,0.017469918880855438,0.889154093532438,0.18947287097094975,100.0,100.0,100.0,0.1413238867581117,95.94537378492117,95.94537378492117,94.46405825914225,95.94537378492117,98.5,95.94537378492117,94.46405825914225,95.88840263363494,2.714285714285714,2.7000000000000006,386.0,0.9863031160184139,0.004423487050468068,0.013696883981586099,0.004423487050468071,4.914704642677727,0.14665302558924662,2.714285714285714,4.440892098500626e-16,2.714285714285714,4.440892098500626e-16,0.34057761800203906,0.004571972838939165,0.29311925459395377,0.014099528219500104,0.04745836340808529,0.01348187975027751,cases/granite_rqd_p32_rot_05.yaml,granite_dense_p32_05,medium_to_poor,dense,unfavorable,high,1,5
granite_dense_p32_05,43,3,0.9622099249225488,0.019996247188751995,0.9509766412302318,-0.016823113430698793,0.008964873401237002,0.9822286023634076,100.0,100.0,100.0,0.9566019480420737,0.005130674749086417,0.9534767470985894,0.9057535387007966,100.0,100.0,100.0,0.019062688703390316,94.80978413558181,94.80978413558181,95.18153204924715,94.80978413558181,98.5,94.80978413558181,95.18153204924715,94.98933141760028,3.1428571428571423,3.5,417.3333333333333,0.9728915617019568,0.0024038895435452407,0.027108438298043117,0.00240388954354523,5.313653033361412,0.13960548903631373,3.1428571428571423,0.20203050891044205,3.1428571428571423,0.20203050891044205,0.33475371644319996,0.007120483559628179,0.2784660449299229,0.007496263316162459,0.056287671513277036,0.01444449744260713,cases/granite_rqd_p32_rot_05.yaml,granite_dense_p32_05,medium_to_poor,dense,unfavorable,high,1,5
granite_dense_p32_05,44,3,0.8541470803918028,0.023733438357142943,0.8615810798269357,-0.06863645432224585,0.01214606831146108,0.8923445289633095,100.0,100.0,100.0,0.9165170790793832,0.06996420765613655,0.8875691846846127,0.24218496102402992,100.0,100.0,100.0,0.0697028682147042,97.05114865818159,97.05114865818159,92.48546277350538,97.05114865818159,98.5,97.04038375640636,92.48546277350538,94.63906491755522,3.4285714285714284,2.566666666666667,372.6666666666667,0.977728301045684,0.00448629616917414,0.02227169895431601,0.0044862961691741424,4.744939370046374,0.17092842419776988,3.4285714285714284,0.4665694748158434,3.4285714285714284,0.4665694748158434,0.345836951362998,0.00897380098483077,0.23904625057557846,0.02508352596569772,0.10679070078741959,0.022603820864781275,cases/granite_rqd_p32_rot_05.yaml,granite_dense_p32_05,medium_to_poor,dense,unfavorable,high,1,5
granite_dense_p32_05,45,3,0.9936982765566698,0.06800932935119142,1.0006612415158005,-0.003773324744518488,0.029957617949870955,0.9817761424046066,100.0,100.0,100.0,1.0148159712994478,0.08689079984609986,0.959733954594921,-0.07526214450022344,100.0,100.0,100.0,0.030194318221447324,95.39869156403411,95.39869156403411,95.54947482070641,95.39869156403411,98.5,95.39869156403411,95.54947482070641,96.64388612067017,2.5714285714285716,3.133333333333333,382.0,0.980776042134243,0.0015357039069917532,0.01922395786575695,0.00153570390699175,4.8637750608883215,0.11715648940945901,2.5714285714285716,0.11664236870396098,2.5714285714285716,0.11664236870396098,0.34548554590545155,0.01067009481175892,0.279461729420407,0.008219635000676411,0.06602381648504459,0.018119143339471466,cases/granite_rqd_p32_rot_05.yaml,granite_dense_p32_05,medium_to_poor,dense,unfavorable,high,1,5
granite_dense_p32_05,46,3,1.0577764399638119,0.18475953853527344,1.0695372650416652,0.017535593509829767,0.07784861591146344,-0.7455517343774536,66.66666666666666,100.0,100.0,0.9990806937767692,0.05594120098188491,1.0293679380113694,-0.6877775996361735,100.0,100.0,100.0,0.07979914810994253,95.08983283583966,95.08983283583966,88.73999117791884,95.08983283583966,98.5,95.08983283583966,88.73999117791884,94.54192201702836,3.285714285714286,3.1,394.3333333333333,0.9829410986275452,0.007850311615062102,0.017058901372454787,0.007850311615062099,5.020807938072324,0.2883512005849137,3.285714285714286,0.20203050891044227,3.285714285714286,0.20203050891044227,0.35270941629813385,0.010535815688354091,0.26938859208158433,0.04430209083652785,0.08332082421654947,0.05402234357383191,cases/granite_rqd_p32_rot_05.yaml,granite_dense_p32_05,medium_to_poor,dense,unfavorable,high,1,5
granite_dense_p32_05,47,3,0.9660043546688106,0.09758787660304637,0.8973949687912366,-0.017147014445312896,0.04251259095950975,-0.40464287757255385,100.0,100.0,100.0,0.9146103453741691,0.035548141299542035,0.9108718675381167,0.8789080136660176,100.0,100.0,100.0,0.04584038061009484,95.99166849770312,95.99166849770312,93.16998400762726,95.99166849770312,98.5,95.90409251649298,93.16998400762726,95.83624008294423,2.8095238095238098,2.9,375.6666666666667,0.9787991161993671,0.00524501476461037,0.021200883800632796,0.005245014764610351,4.783136556388428,0.13567952416220894,2.8095238095238098,0.6424160744396211,2.8095238095238098,0.6424160744396211,0.3459440295096841,0.015520292960081965,0.2770948279668339,0.03241779686861646,0.0688492015428503,0.018254043467930164,cases/granite_rqd_p32_rot_05.yaml,granite_dense_p32_05,medium_to_poor,dense,unfavorable,high,1,5
granite_dense_p32_05,48,3,0.9360566935317552,0.09660188224120946,0.9661407671089327,-0.031099898214835497,0.046103148142847744,-0.9235440117731593,100.0,100.0,100.0,0.9582229152922457,0.0908128656607528,0.9447157176239138,-0.25006512400392616,100.0,100.0,100.0,0.05561208445701791,97.25931006179327,97.25931006179327,95.05921841318236,97.25931006179327,98.5,97.25931006179327,95.05921841318236,95.31553327024518,3.095238095238095,2.7999999999999994,406.6666666666667,0.98187843927922,0.003574529947067423,0.018121560720779976,0.0035745299470674,5.177840815256328,0.17683316672469607,3.095238095238095,0.48562090605645586,3.095238095238095,0.48562090605645586,0.34447636791871,0.008581535157159832,0.26692588048212257,0.025593263397265784,0.07755048743658743,0.029879187229261615,cases/granite_rqd_p32_rot_05.yaml,granite_dense_p32_05,medium_to_poor,dense,unfavorable,high,1,5
granite_dense_p32_05,49,3,0.917093123233362,0.03762241479898884,0.9307237273784841,-0.0379574379247238,0.01801386600804924,0.7128815988471247,100.0,100.0,100.0,0.9814516713245552,0.0029214838857234654,0.9802587621139053,0.9439055351240232,100.0,100.0,100.0,0.04201507422777226,96.69108748812879,96.69108748812879,95.08891851210986,96.69108748812879,98.5,96.69108748812879,95.08891851210986,96.22268781133266,2.6666666666666665,2.466666666666667,366.3333333333333,0.9842242886012343,0.007749294408942711,0.015775711398765633,0.007749294408942692,4.66430086554648,0.31879052491428217,2.6666666666666665,0.40963453652583937,2.6666666666666665,0.40963453652583937,0.34778626482540625,0.0033955757568038857,0.2896357220395033,0.062246813546353835,0.058150542785903,0.06528160494203208,cases/granite_rqd_p32_rot_05.yaml,granite_dense_p32_05,medium_to_poor,dense,unfavorable,high,1,5
