case_name,seed,n_faces,Q_ratio_mean,Q_ratio_std,Q_ratio_median,Q_log_ratio_mean,Q_log_ratio_std,Q_correlation,Q_match_strict,Q_match_normal,Q_match_loose,Qp_ratio_mean,Qp_ratio_std,Qp_ratio_median,Qp_correlation,Qp_match_strict,Qp_match_normal,Qp_match_loose,Q_log_RMSE,diagnostic_face_rqd_mean,diagnostic_face_rqd_min_dir,diagnostic_bh_rqd_mean,diagnostic_face_rqd_scanline_mean,diagnostic_face_rqd_jv_mean,diagnostic_face_rqd_conservative_mean,diagnostic_bh_rqd_direct_mean,diagnostic_bh_rqd_hudson_mean,diagnostic_lambda_borehole_mean,diagnostic_lambda_face_scanline_mean,diagnostic_face_joints_mean,diagnostic_miss_ratio_union_mean,diagnostic_miss_ratio_union_std,diagnostic_detection_ratio_union_mean,diagnostic_detection_ratio_union_std,diagnostic_face_fracture_density_mean,diagnostic_face_fracture_density_std,diagnostic_bh_fracture_frequency_mean,diagnostic_bh_fracture_frequency_std,diagnostic_bh_union_fracture_frequency_mean,diagnostic_bh_union_fracture_frequency_std,diagnostic_face_orientation_bias_mean,diagnostic_face_orientation_bias_std,diagnostic_bh_union_orientation_bias_mean,diagnostic_bh_union_orientation_bias_std,diagnostic_orientation_bias_gap_mean,diagnostic_orientation_bias_gap_std
granite_dense_p32_10,40,3,0.9698722599096893,0.277226283341166,0.8559314286666693,-0.030119454251524475,0.11915386250008526,0.4119532607278928,33.33333333333333,100.0,100.0,0.8907187807899613,0.07924278611765673,0.8383439721004973,0.29287102695697403,100.0,100.0,100.0,0.12290168620933928,89.03351810816584,89.03351810816584,83.39257737472043,89.03351810816584,82.0,82.0,83.39257737472043,87.34704715568621,6.0,5.233333333333333,776.0,0.9831188068239861,0.0033421481819013916,0.016881193176013894,0.003342148181901362,9.880338867144863,0.3874499524899804,6.0,0.5084322977157768,6.0,0.5084322977157768,0.3550873690465411,0.008246213305667573,0.27255771534700296,0.011873580059363023,0.08252965369953813,0.017342590374608988
granite_dense_p32_10,41,3,0.9444186022958391,0.12701573022012103,1.016818141669677,-0.029060114312484748,0.06164595177651958,0.06060453337908701,66.66666666666666,100.0,100.0,1.0126372318448258,0.06373084515989773,1.0435171472138598,0.2823068789331812,100.0,100.0,100.0,0.06815213580136471,90.77806878168535,90.77806878168535,90.23502770029897,90.77806878168535,82.0,82.0,90.23502770029897,91.81098545038242,4.476190476190476,5.233333333333333,747.3333333333334,0.9840446324807034,0.0032047736781427973,0.01595536751929655,0.0032047736781428003,9.51534353098745,0.3066954250226575,4.476190476190476,0.673435029701474,4.476190476190476,0.673435029701474,0.35453567950959614,0.0028476946988816292,0.2776971084870658,0.03250634898966474,0.07683857102253033,0.03211134140925076
granite_dense_p32_10,42,3,0.8880105791902725,0.13172617420540825,0.8265982735389755,-0.05614875834711652,0.06223674329260315,-0.7164082150197948,66.66666666666666,100.0,100.0,1.0248432594896733,0.05319725455147412,1.002031351386868,0.6318999988276959,100.0,100.0,100.0,0.08382180670680077,89.4049646764786,89.4049646764786,88.27117468522034,89.4049646764786,82.0,82.0,88.27117468522034,90.10854144873069,5.095238095238096,5.5,745.3333333333334,0.9896931655456768,0.00346289930765334,0.010306834454323238,0.0034628993076533422,9.489878740092747,0.3601765405630023,5.095238095238096,0.3749527559053245,5.095238095238096,0.3749527559053245,0.3450140283853349,0.003930080323136031,0.307215586273535,0.037073814524826776,0.037798442111799835,0.038637355529701795
granite_dense_p32_10,43,3,1.0357394605523054,0.09176573171358104,0.9782283096741234,0.013606520167254055,0.03743665600618094,0.7394732364926625,100.0,100.0,100.0,1.0260784015150577,0.0990647759186403,0.964012421867899,0.6827828400262913,100.0,100.0,100.0,0.03983265750595879,85.43399848132901,85.43399848132901,88.13486278843607,85.43399848132901,82.0,82.0,88.13486278843607,91.38002249330039,4.523809523809525,6.466666666666666,761.0,0.9854566822929248,0.004081598041573619,0.014543317707075225,0.004081598041573608,9.689352935434588,0.41933225113087735,4.523809523809525,1.4061736247841334,4.523809523809525,1.4061736247841334,0.3454981219947306,0.0048094622989499165,0.29492547603204794,0.03732759415180958,0.05057264596268266,0.04064221367053369
granite_dense_p32_10,44,3,0.8888842921750393,0.05967282076949545,0.8575516468798706,-0.05210837321973161,0.02858997871278371,0.36608608602066156,100.0,100.0,100.0,0.9600902780470237,0.07182892722086165,0.9950909517557708,0.8852139934952946,100.0,100.0,100.0,0.05943626369821936,92.5758546073173,92.5758546073173,87.07846743015268,92.5758546073173,82.0,82.0,87.07846743015268,88.9655021451644,5.333333333333333,4.866666666666666,750.3333333333334,0.9827072371913599,0.004484267529040555,0.017292762808640085,0.004484267529040582,9.553540717329502,0.5660150877082296,5.333333333333333,1.1799534946060826,5.333333333333333,1.1799534946060826,0.34204422979349447,0.000615516896127136,0.3017713940149184,0.005304303513859649,0.04027283577857602,0.005851933051410749
granite_dense_p32_10,45,3,0.8585665888141643,0.055891177038771576,0.8338133172566008,-0.06712596862082902,0.027800310089079246,-0.4971684638814594,100.0,100.0,100.0,0.9045391672016542,0.09396524985879671,0.8504670752073465,-0.9941911839226232,100.0,100.0,100.0,0.07265502669694289,93.73935757218722,93.73935757218722,85.41186936513299,93.73935757218722,82.0,82.0,85.41186936513299,84.06437929091055,6.9523809523809526,5.033333333333334,775.3333333333334,0.9811647066372696,0.002912972367335992,0.01883529336273039,0.002912972367335987,9.871850603513295,0.3088025176070473,6.9523809523809526,0.2428104530282278,6.9523809523809526,0.2428104530282278,0.3484787664548326,0.0024636821535260803,0.2747120025948226,0.015504591938810562,0.07376676386001006,0.013843114353340485
granite_dense_p32_10,46,3,1.0041412171635524,0.15461173244423224,0.9263669208438872,-0.003103814518644351,0.06437780009598072,0.3446145918442927,100.0,100.0,100.0,0.957122079540469,0.041952180517438584,0.9707385010764934,0.22955118810697298,100.0,100.0,100.0,0.06445257799160715,88.4957926391823,88.4957926391823,88.85478887520713,88.4957926391823,82.0,82.0,88.85478887520713,88.6410785487294,5.6190476190476195,6.2,777.3333333333334,0.9820062320816015,0.003704463490161176,0.017993767918398608,0.003704463490161181,9.897315394407999,0.2962999828470406,5.6190476190476195,0.356348322549899,5.6190476190476195,0.356348322549899,0.3489341076823826,0.0034188539151851875,0.29168656062208953,0.015301693520512877,0.05724754706029308,0.017200335295505267
granite_dense_p32_10,47,3,1.0901609226431317,0.039886550705177486,1.0760901021990794,0.037203078464364436,0.015759930441909452,-0.7859286611911627,100.0,100.0,100.0,1.0452795617228998,0.04342432522143725,1.0213421053725948,0.3049061294664748,100.0,100.0,100.0,0.04040352032632158,83.69418601403112,83.69418601403112,85.75907306344673,83.69418601403112,82.0,81.85596889265932,85.75907306344673,87.10244375290189,5.904761904761905,6.866666666666667,780.6666666666666,0.9799743838478108,0.006823216743741823,0.02002561615218909,0.00682321674374184,9.939756712565837,0.06266385530435539,5.904761904761905,0.7407785326716215,5.904761904761905,0.7407785326716215,0.3501770054513719,0.002157937379142636,0.3003549785025184,0.022416970172803634,0.04982202694885344,0.0225206334654901
granite_dense_p32_10,48,3,0.9686907242032579,0.11097235690007107,0.8971490698470672,-0.01653795247375837,0.04805907788999294,-0.25124736006419496,100.0,100.0,100.0,0.9732258664069936,0.05991687788996786,1.0118704427652734,0.15484909037159103,100.0,100.0,100.0,0.05082498243640325,86.92288859970074,86.92288859970074,84.02971570714134,86.92288859970074,82.0,81.96327018802675,84.02971570714134,85.48233425056851,6.523809523809523,5.466666666666666,761.3333333333334,0.9802949785457845,0.0037093379325085587,0.019705021454215554,0.0037093379325085674,9.693597067250371,0.16644357359079315,6.523809523809523,0.6632565846278154,6.523809523809523,0.6632565846278154,0.3505328557383855,0.004967085042957492,0.2644259784911991,0.011544322404945873,0.0861068772471864,0.016503578015893357
granite_dense_p32_10,49,3,0.911310609451783,0.05316367852494128,0.8991384475593889,-0.04106490401296311,0.02513723191728292,0.6287905201830227,100.0,100.0,100.0,0.9848477916542487,0.05034922520061456,0.973788832322159,0.19061084784863389,100.0,100.0,100.0,0.04814775976156254,87.8581819866605,87.8581819866605,85.33230685519284,87.8581819866605,82.0,82.0,85.33230685519284,89.05743341068596,5.428571428571428,5.2,723.3333333333334,0.985116948633287,0.0050732261424685865,0.014883051366712937,0.005073226142468564,9.20976604025101,0.2813318423102457,5.428571428571428,1.414213562373095,5.428571428571428,1.414213562373095,0.3484983729611213,0.009235245400174303,0.30229675422457325,0.019336402781436,0.046201618736548045,0.02247007865360522
