Scenario,Corr,Bias,RMSE,RQD dependency
granite_dense_p32_10,0.29287102695697403,-0.030119454251524475,0.12290168620933928,Normal
granite_dense_p32_10,0.2823068789331812,-0.029060114312484748,0.06815213580136471,Normal
granite_dense_p32_10,0.6318999988276959,-0.05614875834711652,0.08382180670680077,Normal
granite_dense_p32_10,0.6827828400262913,0.013606520167254055,0.03983265750595879,Normal
granite_dense_p32_10,0.8852139934952946,-0.05210837321973161,0.05943626369821936,Normal
granite_dense_p32_10,-0.9941911839226232,-0.06712596862082902,0.07265502669694289,Normal
granite_dense_p32_10,0.22955118810697298,-0.003103814518644351,0.06445257799160715,Normal
granite_dense_p32_10,0.3049061294664748,0.037203078464364436,0.04040352032632158,Normal
granite_dense_p32_10,0.15484909037159103,-0.01653795247375837,0.05082498243640325,Normal
granite_dense_p32_10,0.19061084784863389,-0.04106490401296311,0.04814775976156254,Normal
granite_dense_p32_10,-0.8471143910435665,-0.0525213074107023,0.09089035280303713,Normal
granite_dense_p32_10,0.04820146092890026,0.04504076735041177,0.11483943708913617,Normal
granite_dense_p32_10,-0.9914903255392107,-0.026109053962986017,0.10218122757667632,Normal
granite_dense_p32_10,0.8778627051941853,0.018251326609521817,0.02581686661603039,Normal
granite_dense_p32_10,-0.7548900593037623,0.03325832255737079,0.04030048822399934,Normal
granite_dense_p32_10,0.815049821776815,-1.5910719901183572e-05,0.07086858574194435,Normal
granite_dense_p32_10,0.9790051719309223,-0.051231811555819205,0.10078876495543708,Normal
granite_dense_p32_10,-0.1312721323875621,-0.015215208060156674,0.03726926318509332,Normal
granite_dense_p32_10,-0.46151191277807646,-0.06458983036247967,0.08518072635283214,Normal
granite_dense_p32_10,0.622071150917071,-0.06844046254769905,0.08420222976310537,Normal
