Scenario,Corr,Bias,RMSE,RQD dependency
scenario_06_layered_density,-0.3129942998774475,0.024024845502684133,0.07714703928236735,Normal
scenario_06_layered_density,-0.7198236080783574,-0.033822620680780936,0.08668248218976936,Normal
scenario_06_layered_density,-0.8653868089313379,-0.04149643027747122,0.04694470084601708,Normal
scenario_06_layered_density,-0.9378116215361594,0.05386078985103815,0.07622294837724189,Normal
scenario_06_layered_density,-0.9738199734086624,-0.046962194061102656,0.0680703401921259,Normal
scenario_06_layered_density,0.07910132170968956,-0.012160887555038191,0.013722624899890215,Normal
scenario_06_layered_density,0.8540527265478801,-0.0008210955261552799,0.07269903142408564,Normal
scenario_06_layered_density,0.08809624388454328,0.008258526574281019,0.019003907343990854,Normal
scenario_06_layered_density,-0.7430010593755314,-0.013952393358468096,0.03337486313394715,Normal
scenario_06_layered_density,-0.7746163672698889,-0.01557305177385171,0.042178477837815254,Normal
scenario_06_layered_density,-0.6085160237650212,-0.02097655898687371,0.06280444117428867,Normal
scenario_06_layered_density,0.528788749713477,0.060470659963154816,0.07949352433154402,Normal
scenario_06_layered_density,0.9949233425558854,-0.019945160925129473,0.0702619189893096,Normal
scenario_06_layered_density,0.1450134681813517,0.005905279282726883,0.08484432205872389,Normal
scenario_06_layered_density,0.9529256976185652,-0.006651270037444738,0.05115735569279476,Normal
scenario_06_layered_density,0.6108842271540725,0.07156330161934828,0.07661245083734225,Normal
scenario_06_layered_density,0.8761818204165174,0.005976833210060151,0.051287948372793095,Normal
scenario_06_layered_density,-0.12823029765741967,0.06062083221712181,0.1526238692725797,Normal
scenario_06_layered_density,0.8964432019042342,-0.0021529509588850138,0.034763019859935886,Normal
scenario_06_layered_density,-0.362097650994452,-0.05651496243608134,0.07052732077566959,Normal
