case_name,seed,n_faces,Q_ratio_mean,Q_ratio_std,Q_ratio_median,Q_log_ratio_mean,Q_log_ratio_std,Q_correlation,Q_match_strict,Q_match_normal,Q_match_loose,Qp_ratio_mean,Qp_ratio_std,Qp_ratio_median,Qp_correlation,Qp_match_strict,Qp_match_normal,Qp_match_loose,Q_log_RMSE,diagnostic_face_rqd_mean,diagnostic_face_rqd_min_dir,diagnostic_bh_rqd_mean,diagnostic_face_rqd_scanline_mean,diagnostic_face_rqd_jv_mean,diagnostic_face_rqd_conservative_mean,diagnostic_bh_rqd_direct_mean,diagnostic_bh_rqd_hudson_mean,diagnostic_lambda_borehole_mean,diagnostic_lambda_face_scanline_mean,diagnostic_face_joints_mean,diagnostic_miss_ratio_union_mean,diagnostic_miss_ratio_union_std,diagnostic_detection_ratio_union_mean,diagnostic_detection_ratio_union_std,diagnostic_face_fracture_density_mean,diagnostic_face_fracture_density_std,diagnostic_bh_fracture_frequency_mean,diagnostic_bh_fracture_frequency_std,diagnostic_bh_union_fracture_frequency_mean,diagnostic_bh_union_fracture_frequency_std,diagnostic_face_orientation_bias_mean,diagnostic_face_orientation_bias_std,diagnostic_bh_union_orientation_bias_mean,diagnostic_bh_union_orientation_bias_std,diagnostic_orientation_bias_gap_mean,diagnostic_orientation_bias_gap_std
granite_sparse_favorable,42,8,0.9782351170992345,0.06916343606381042,0.9693372185827954,-0.010622052673601196,0.030282641832772652,0.362578652530841,100.0,100.0,100.0,0.9648904265526477,0.02173011982046272,0.9607465287088228,0.9071255528287893,100.0,100.0,100.0,0.03209153158346841,100.0,100.0,99.68247833960672,100.0,100.0,100.0,99.68247833960672,99.8830289959889,0.25,0.0125,19.125,0.9665034747029716,0.026753767849288408,0.033496525297028394,0.026753767849288394,0.24350706293059984,0.045212331061162556,0.25,0.15567496226930977,0.25,0.15567496226930977,0.03497997936371894,0.008449121525317835,0.017709922613625736,0.017313032381029343,0.017270056750093202,0.02129797562057408
granite_sparse_favorable,43,8,1.032446969063781,0.19517372893363616,1.015775538417881,0.005307303855993137,0.08867907416478496,-0.15122533589810247,75.0,87.5,100.0,1.0594161509000717,0.07747708153658449,1.0586656216866053,0.08710514915089901,100.0,100.0,100.0,0.08883774912132382,100.0,100.0,99.93496288430467,100.0,100.0,100.0,99.93496288430467,99.80461923748184,0.2678571428571428,0.08750000000000001,19.25,0.9743389780154487,0.03453835871376832,0.025661021984551394,0.034538358713768307,0.24509861236151884,0.044903135241122334,0.2678571428571428,0.21943224513293763,0.2678571428571428,0.21943224513293763,0.03865838800358612,0.004800520254585,0.03959091183818725,0.03122663941676065,-0.0009325238346011289,0.03187733912791534
granite_sparse_favorable,44,8,1.1707341875482968,0.2652062416913324,1.1015857202204122,0.05928465298090163,0.08513442396999771,-0.7010148083159986,87.5,87.5,100.0,1.039232126477804,0.10130334185258563,1.0333940281203888,-0.5218996201933377,87.5,100.0,100.0,0.10374266346961239,100.0,100.0,99.95259514062647,100.0,100.0,100.0,99.95259514062647,99.88515803944489,0.21428571428571427,0.025,21.0,0.9820039428815005,0.0237060470062794,0.017996057118499574,0.02370604700627941,0.26738030439438415,0.042705752605030615,0.21428571428571427,0.17496355305594127,0.21428571428571427,0.17496355305594127,0.03620488751575726,0.0071245603597173066,0.02778104392837598,0.016855803570545357,0.008423843587381283,0.017658805680431294
granite_sparse_favorable,45,8,1.0291943591857753,0.10067941782088187,1.0399521616911094,0.010429534860022155,0.04233322043840181,0.7318017032326604,100.0,100.0,100.0,0.989310007375688,0.07407781258069865,1.0078418719823194,0.1278794349144343,100.0,100.0,100.0,0.04359904528866129,100.0,100.0,99.84552180488875,100.0,100.0,100.0,99.84552180488875,99.95822464142461,0.08928571428571427,0.025,17.0,0.9825721153846154,0.03040057661043686,0.017427884615384616,0.03040057661043687,0.21645072260497766,0.03601265264628424,0.08928571428571427,0.12242240357859006,0.08928571428571427,0.12242240357859006,0.03795664364362138,0.007017724628980756,0.02403854660779642,0.032147658436806135,0.013918097035824958,0.032116869996397665
granite_sparse_favorable,46,8,1.0266345237786967,0.0877259590972426,1.0140997004277597,0.009865801122834389,0.036495838120062685,0.38031215893118375,100.0,100.0,100.0,0.9922185354479125,0.06480656931120216,1.0049117894434665,0.300999358047261,100.0,100.0,100.0,0.03780582272456375,100.0,100.0,99.82770002647652,100.0,100.0,100.0,99.82770002647652,99.88728708290088,0.17857142857142855,0.025,18.25,0.9769791666666667,0.03123037578268595,0.023020833333333334,0.031230375782685962,0.2323662169141672,0.05162118876772874,0.17857142857142855,0.18557687223952254,0.17857142857142855,0.18557687223952254,0.03761215681865265,0.011121281879494687,0.027571669361744974,0.03297834232339446,0.010040487456907679,0.03884436116922556
granite_sparse_favorable,47,8,0.9658665397456276,0.10725283887992554,1.032714718166504,-0.01798316062784165,0.05119797311369509,0.2704147321223532,87.5,100.0,100.0,0.972616555948951,0.08059018695501861,0.9706149483772273,-0.24519820420356256,100.0,100.0,100.0,0.05426441298970624,100.0,100.0,99.43940397489975,100.0,100.0,100.0,99.43940397489975,99.80586540920608,0.3214285714285714,0.0125,19.5,0.9507340485601354,0.036234545622953536,0.04926595143986448,0.036234545622953515,0.24828171122335668,0.03872406897404506,0.3214285714285714,0.19884872724392935,0.3214285714285714,0.19884872724392935,0.03772206783012304,0.005130547568097128,0.04553138040433742,0.0244408169897629,-0.007809312574214383,0.023094945417121898
granite_sparse_favorable,48,8,0.9373049037598271,0.12436625084240803,0.9335775453600159,-0.03193042776134085,0.05749359643492479,0.3769858358888967,62.5,100.0,100.0,1.0177325825159775,0.10371829521833309,1.0367533497537251,-0.14618732761217862,100.0,100.0,100.0,0.06576523282133352,100.0,100.0,99.27087826590999,100.0,100.0,100.0,99.27087826590999,99.66897014869349,0.46428571428571425,0.0625,20.875,0.921756429116269,0.05925063613124853,0.07824357088373106,0.05925063613124853,0.2657887549634652,0.03569473188444477,0.46428571428571425,0.21128856368212914,0.46428571428571425,0.21128856368212914,0.033499106352234326,0.005095467876547836,0.04242786901965412,0.022780695834590813,-0.008928762667419793,0.024373086970721353
granite_sparse_favorable,49,8,1.0742529613594574,0.15021418832678324,1.0327890025792668,0.02703706242131465,0.05884023978189889,-0.10803684684300008,75.0,100.0,100.0,1.0201723144901553,0.05391027158668465,1.0052643213116905,0.25402015136909933,100.0,100.0,100.0,0.06475474161762536,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.97493478485475,0.05357142857142857,0.0125,20.75,0.9858630952380953,0.025591344526666414,0.01413690476190476,0.025591344526666424,0.2641972055325463,0.04210843993477923,0.05357142857142857,0.06916041689656101,0.05357142857142857,0.06916041689656101,0.035894563813829494,0.006507466737308527,0.007076575104029495,0.011472549417293715,0.0288179887098,0.013762771844181317
granite_sparse_favorable,50,8,0.9697243041939461,0.17251327649646592,0.9516522590075887,-0.02064941146171685,0.08098558209390491,-0.15686332802039293,87.5,87.5,100.0,0.9457354318029343,0.08333321303113456,0.9492903905971418,-0.02248940241981026,100.0,100.0,100.0,0.08357668754385936,99.96336620894951,99.96336620894951,99.43463762315591,99.96336620894951,100.0,99.96336620894951,99.43463762315591,99.86009282429966,0.26785714285714285,0.0125,21.0,0.9550166576928254,0.0407038460203478,0.04498334230717459,0.04070384602034779,0.26738030439438415,0.03053121172684614,0.26785714285714285,0.16656034023372882,0.26785714285714285,0.16656034023372882,0.036316281112473814,0.007149978962501568,0.035610434409833275,0.022259187092671582,0.0007058467026405391,0.020514932940409996
granite_sparse_favorable,51,8,1.1882872784250698,0.26289137499028337,1.173463396544296,0.06368300720879182,0.10068757277179828,0.3506318208090618,50.0,87.5,100.0,1.0199409616945443,0.08730444480811235,1.013496757272748,-0.19329844518637007,100.0,100.0,100.0,0.11913652973723553,100.0,100.0,99.66758074118306,100.0,100.0,100.0,99.66758074118306,99.91022325459011,0.1607142857142857,0.0,18.875,0.9760872297637004,0.024826000997461073,0.023912770236299646,0.024826000997461073,0.24032396406876194,0.06186604652060215,0.1607142857142857,0.11151782139997139,0.1607142857142857,0.11151782139997139,0.03781636412416878,0.004160793000872874,0.03147150806404862,0.022562952778541697,0.006344856060120155,0.024897766206632185
