case_name,seed,face_x_idx,face_x_coord,Q_face_mean,Q_face_median,Qp_face_mean,Qp_face_median,Q_borehole_mean,Qp_borehole_mean,Q_ratio,Q_difference,Q_log_ratio,Qp_ratio,Qp_difference,face_joints_count,face_rqd_practical,face_rqd_mean,face_rqd_min_dir,RQD_borehole_direct,RQD_borehole_hudson,lambda_borehole,borehole_n_intersections_total,RQD_face_scanline,lambda_face_scanline,RQD_face_scanline_hudson,face_scanline_n_intersections,Jv_face,Jv_method,RQD_face_jv,RQD_face_conservative,RQD_diff_bh_direct_minus_face_scanline,RQD_diff_bh_hudson_minus_face_scanline,RQD_diff_bh_direct_minus_face_jv,RQD_diff_bh_hudson_minus_face_jv,RQD_absdiff_bh_direct_face_scanline,RQD_absdiff_bh_hudson_face_scanline,RQD_absdiff_bh_direct_face_jv,RQD_absdiff_bh_hudson_face_jv,face_joint_count,bh_union_fracture_count,common_union_fracture_count,missed_union_fracture_count,miss_ratio_union,detection_ratio_union,face_area,window_length,face_fracture_density,bh_fracture_frequency_mean,bh_union_fracture_frequency,common_fracture_density,missed_fracture_density,face_orientation_bias,bh_union_orientation_bias,orientation_bias_gap,Q_match_strict,Q_match_normal,Q_match_loose,Qp_match_strict,Qp_match_normal,Qp_match_loose,face_RQD_mean,face_RQD_median,face_RQD_std,face_RQD_min,face_RQD_max,face_RQD_n_points,face_Jn_mean,face_Jn_median,face_Jn_std,face_Jn_min,face_Jn_max,face_Jn_n_points,face_Jr_mean,face_Jr_median,face_Jr_std,face_Jr_min,face_Jr_max,face_Jr_n_points,face_Ja_mean,face_Ja_median,face_Ja_std,face_Ja_min,face_Ja_max,face_Ja_n_points,face_Jw_mean,face_Jw_median,face_Jw_std,face_Jw_min,face_Jw_max,face_Jw_n_points,face_SRF_mean,face_SRF_median,face_SRF_std,face_SRF_min,face_SRF_max,face_SRF_n_points,face_Q_mean,face_Q_median,face_Q_std,face_Q_min,face_Q_max,face_Q_n_points,face_Qprime_mean,face_Qprime_median,face_Qprime_std,face_Qprime_min,face_Qprime_max,face_Qprime_n_points,case_path,case_name_meta,quality_regime,density_regime,orientation_regime,anisotropy_regime
granite_dense_unfavorable,42,10,10.5,10.820213565072804,10.192788926186127,12.119933242697984,12.119933242697984,8.948452313410547,10.951830997184706,0.8270125408888209,-1.8717612516622566,-0.082487904718895,0.9036213960817783,-1.1681022455132783,401,99.8780365138459,99.8780365138459,99.8780365138459,90.69909633691258,92.06984544749696,4.285714285714286,30,99.8780365138459,0.4,99.92210167184162,4,5.0,P32_derived_Jv_proxy,98.5,98.5,-9.178940176933324,-7.80819106634894,-7.800903663087425,-6.430154552503041,9.178940176933324,7.80819106634894,7.800903663087425,6.430154552503041,401,30,11,390,0.972568578553616,0.02743142144638404,78.53981633974483,7.0,5.105690574388002,4.285714285714286,4.285714285714286,0.1400563499208679,4.965634224467134,0.04356734998105327,0.038040598649330404,0.005526751331722868,1,1,1,1,1,1,99.8780365138459,99.8780365138459,0.0,99.8780365138459,99.8780365138459,81,4.0,4.0,0.0,4.0,4.0,81,1.2051695067858776,1.2051695067858776,0.2903247298267035,0.5,1.9139834034507714,81,2.482892471306598,2.482892471306598,0.4982490647750485,1.0072893929047855,3.8826024157027725,81,0.8201517560809011,0.8226067003048976,0.08698822438873212,0.5751736541013271,1.0,81,0.9877160372876669,0.937196033969026,0.2563878424717291,0.5,1.5404515273190675,81,10.820213565072804,10.192788926186127,3.3152933758347056,6.0603199828346,21.306002242718748,81,12.119933242697984,12.119933242697984,0.0,12.119933242697984,12.119933242697984,81,cases/granite_rqd_p32_rot_05.yaml,granite_dense_unfavorable,medium_to_poor,dense,unfavorable,high
granite_dense_unfavorable,42,20,20.5,10.794511806348078,9.586237949934127,11.419940665407237,11.419940665407236,8.537325338023615,10.684159920055894,0.790894992861368,-2.2571864683244627,-0.10188117395890695,0.935570528174447,-0.7357807453513434,384,98.8881884485199,98.8881884485199,98.8881884485199,93.19319077678824,93.27850316005899,3.857142857142857,27,98.8881884485199,0.7,99.76613872993647,7,5.0,P32_derived_Jv_proxy,98.5,98.5,-5.694997671731656,-5.609685288460909,-5.306809223211758,-5.221496839941011,5.694997671731656,5.609685288460909,5.306809223211758,5.221496839941011,384,27,8,376,0.9791666666666666,0.020833333333333332,78.53981633974483,7.0,4.8892398517830244,3.857142857142857,3.857142857142857,0.10185916357881301,4.787380688204212,0.04502895141913721,0.03944695886244798,0.00558199255668923,0,1,1,1,1,1,98.8881884485199,98.8881884485199,0.0,98.8881884485199,98.8881884485199,81,4.0,4.0,0.0,4.0,4.0,81,1.185431197633999,1.185431197633999,0.2865345125446923,0.5,2.0930596611188146,81,2.5662380195082495,2.5662380195082495,0.4795024242646745,1.243223166793815,4.265506233246922,81,0.7988857674090312,0.8117037190935028,0.1011720173796645,0.5561134050219071,1.0,81,0.9683511330949067,0.9370708560021371,0.3338856479833927,0.5,1.7820738996420622,81,10.794511806348078,9.586237949934127,4.348267968967407,3.563702992262748,21.54714286260889,81,11.419940665407237,11.419940665407236,1.7763568394002505e-15,11.419940665407236,11.419940665407236,81,cases/granite_rqd_p32_rot_05.yaml,granite_dense_unfavorable,medium_to_poor,dense,unfavorable,high
granite_dense_unfavorable,42,30,30.5,10.859386432394508,9.995609122334352,11.896319179577985,11.896319179577983,6.996815651646256,10.682502253996413,0.6443104032815461,-3.8625707807482526,-0.19090485631267362,0.8979670175910133,-1.2138169255815718,373,99.00485704179012,99.00485704179012,99.00485704179012,92.56600876092837,94.44078417525061,3.5714285714285716,25,99.00485704179012,0.6,99.82704055993037,6,5.0,P32_derived_Jv_proxy,98.5,98.5,-6.438848280861748,-4.5640728665395045,-5.933991239071631,-4.059215824749387,6.438848280861748,4.5640728665395045,5.933991239071631,4.059215824749387,373,25,9,364,0.9758713136729222,0.024128686327077747,78.53981633974483,7.0,4.749183501862157,3.5714285714285716,3.5714285714285716,0.11459155902616464,4.634591942835992,0.0395051840736077,0.04201311780402006,-0.0025079337304123595,0,0,1,1,1,1,99.00485704179012,99.00485704179012,0.0,99.00485704179012,99.00485704179012,81,4.0,4.0,0.0,4.0,4.0,81,1.1952116026611341,1.1952116026611341,0.2976101164137772,0.5,2.127767486769036,81,2.486730392609393,2.486730392609393,0.513274199818621,0.9587183692240706,3.912474888279246,81,0.816729700761937,0.8169461992309159,0.10196021735524873,0.5895180825587304,1.0,81,0.9919010136788373,0.9891668958302567,0.2864226965439688,0.5,1.61392226941115,81,10.859386432394508,9.995609122334352,4.123458405035286,5.364883147019356,23.792638359155966,81,11.896319179577985,11.896319179577983,1.7763568394002505e-15,11.896319179577983,11.896319179577983,81,cases/granite_rqd_p32_rot_05.yaml,granite_dense_unfavorable,medium_to_poor,dense,unfavorable,high
granite_dense_unfavorable,42,40,40.5,10.656533640477898,9.386480621236357,12.016927221144773,12.016927221144774,6.7171624068283995,9.760785707250525,0.630332773624798,-3.9393712336494984,-0.20043011150937096,0.8122530433633333,-2.2561415138942476,381,100.0,100.0,100.0,90.89944686900614,93.68597499032126,4.0,28,100.0,0.4,99.92210167184162,4,5.0,P32_derived_Jv_proxy,98.5,98.5,-9.100553130993859,-6.314025009678744,-7.600553130993859,-4.814025009678744,9.100553130993859,6.314025009678744,7.600553130993859,4.814025009678744,381,28,8,373,0.979002624671916,0.02099737532808399,78.53981633974483,7.0,4.8510426654409695,4.0,4.0,0.10185916357881301,4.749183501862157,0.04550827172446292,0.04178210212444455,0.0037261696000183697,0,0,1,1,1,1,100.0,100.0,0.0,100.0,100.0,81,4.0,4.0,0.0,4.0,4.0,81,1.209259442406342,1.209259442406342,0.30170682838067087,0.5,2.045549183997585,81,2.5157417952039984,2.5157417952039984,0.49681881532883404,1.1072779602157548,3.7615902429329813,81,0.8088580029684762,0.8175530873818213,0.10236351368127025,0.48155747117540476,1.0,81,1.0322188789139688,1.0323750046841407,0.34401701731664414,0.5,1.805972829573357,81,10.656533640477898,9.386480621236357,4.131756375097616,3.947751497381197,20.50969749367976,81,12.016927221144773,12.016927221144774,1.7763568394002505e-15,12.016927221144774,12.016927221144774,81,cases/granite_rqd_p32_rot_05.yaml,granite_dense_unfavorable,medium_to_poor,dense,unfavorable,high
granite_dense_unfavorable,42,50,50.5,10.005920479858323,9.683231026442321,11.824968007492844,11.824968007492846,9.442895413557993,10.935456499349254,0.9437308074320913,-0.5630250663003302,-0.025151867480468937,0.9247768359643802,-0.88951150814359,380,99.57018012544388,99.57018012544388,99.57018012544388,91.55459597836284,91.07605401246295,4.714285714285714,33,99.57018012544388,0.4,99.92210167184162,4,5.0,P32_derived_Jv_proxy,98.5,98.5,-8.015584147081043,-8.494126112980936,-6.9454040216371595,-7.423945987537053,8.015584147081043,8.494126112980936,6.9454040216371595,7.423945987537053,380,33,8,372,0.9789473684210527,0.021052631578947368,78.53981633974483,7.0,4.8383102699936185,4.714285714285714,4.714285714285714,0.10185916357881301,4.736451106414806,0.04713783922301984,0.04743973314018923,-0.0003018939171693935,1,1,1,1,1,1,99.57018012544388,99.57018012544388,0.0,99.57018012544388,99.57018012544388,81,4.0,4.0,0.0,4.0,4.0,81,1.2057940828368658,1.2057940828368658,0.3015180825400802,0.5,2.188055837318099,81,2.5382972272353053,2.5382972272353053,0.5157047795074425,1.1300692756947368,3.980734196700366,81,0.8010348943050668,0.7939093010243582,0.0932893302588083,0.5774831267793727,1.0,81,1.013400031369108,0.9698562651631139,0.2544613799087148,0.5,1.6531659862467738,81,10.005920479858323,9.683231026442321,3.0404441269218436,4.805140356261686,20.736903890696258,81,11.824968007492844,11.824968007492846,1.7763568394002505e-15,11.824968007492846,11.824968007492846,81,cases/granite_rqd_p32_rot_05.yaml,granite_dense_unfavorable,medium_to_poor,dense,unfavorable,high
granite_dense_unfavorable,42,60,60.5,9.733072243107195,9.733072243107195,12.166340303883993,12.166340303883992,16.752205281327946,15.654158935314852,1.7211631500209594,7.019133038220751,0.23582203929648482,1.2866777144411623,3.4878186314308586,277,100.0,100.0,100.0,91.21312164730209,91.64373886179673,4.333333333333333,13,100.0,0.6,99.82704055993037,6,5.0,P32_derived_Jv_proxy,98.5,98.5,-8.786878352697912,-8.356261138203266,-7.2868783526979115,-6.856261138203266,8.786878352697912,8.356261138203266,7.2868783526979115,6.856261138203266,277,13,6,271,0.9783393501805054,0.021660649819494584,78.53981633974483,3.0,3.5268735389164005,4.333333333333333,4.333333333333333,0.07639437268410976,3.4504791662322907,0.042944432685996015,0.036970373618494645,0.005974059067501369,0,0,1,0,1,1,100.0,100.0,0.0,100.0,100.0,81,4.0,4.0,0.0,4.0,4.0,81,1.2143488372632634,1.2143488372632634,0.3027959501141362,0.5,2.144041090039133,81,2.495304271728273,2.495304271728273,0.5136494157416214,1.1850778688778176,3.820392260131584,81,0.8,0.8,1.1102230246251565e-16,0.8,0.8,81,1.0,1.0,0.0,1.0,1.0,81,9.733072243107195,9.733072243107195,0.0,9.733072243107195,9.733072243107195,81,12.166340303883993,12.166340303883992,1.7763568394002505e-15,12.166340303883992,12.166340303883992,81,cases/granite_rqd_p32_rot_05.yaml,granite_dense_unfavorable,medium_to_poor,dense,unfavorable,high
granite_dense_unfavorable,42,70,70.5,9.6,9.600000000000001,12.0,12.0,0.0,0.0,0.0,-9.6,-10.982271233039569,0.0,-12.0,0,100.0,100.0,100.0,0.0,0.0,0.0,0,100.0,0.0,100.0,0,5.0,P32_derived_Jv_proxy,98.5,98.5,-100.0,-100.0,-98.5,-98.5,100.0,100.0,98.5,98.5,0,0,0,0,0.0,0.0,78.53981633974483,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,100.0,100.0,0.0,100.0,100.0,81,4.0,4.0,0.0,4.0,4.0,81,1.2,1.2,0.0,1.2,1.2,81,2.5,2.5,0.0,2.5,2.5,81,0.8,0.8,1.1102230246251565e-16,0.8,0.8,81,1.0,1.0,0.0,1.0,1.0,81,9.6,9.600000000000001,1.7763568394002505e-15,9.600000000000001,9.600000000000001,81,12.0,12.0,0.0,12.0,12.0,81,cases/granite_rqd_p32_rot_05.yaml,granite_dense_unfavorable,medium_to_poor,dense,unfavorable,high
granite_dense_unfavorable,42,80,80.5,9.6,9.600000000000001,12.0,12.0,0.0,0.0,0.0,-9.6,-10.982271233039569,0.0,-12.0,0,100.0,100.0,100.0,0.0,0.0,0.0,0,100.0,0.0,100.0,0,5.0,P32_derived_Jv_proxy,98.5,98.5,-100.0,-100.0,-98.5,-98.5,100.0,100.0,98.5,98.5,0,0,0,0,0.0,0.0,78.53981633974483,-17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,100.0,100.0,0.0,100.0,100.0,81,4.0,4.0,0.0,4.0,4.0,81,1.2,1.2,0.0,1.2,1.2,81,2.5,2.5,0.0,2.5,2.5,81,0.8,0.8,1.1102230246251565e-16,0.8,0.8,81,1.0,1.0,0.0,1.0,1.0,81,9.6,9.600000000000001,1.7763568394002505e-15,9.600000000000001,9.600000000000001,81,12.0,12.0,0.0,12.0,12.0,81,cases/granite_rqd_p32_rot_05.yaml,granite_dense_unfavorable,medium_to_poor,dense,unfavorable,high
granite_dense_unfavorable,43,10,10.5,10.442069489889775,9.43841173002704,11.86289753036172,11.86289753036172,9.406456827035894,10.683022832600198,0.9008230443345946,-1.0356126628538807,-0.04536051248013717,0.9005407663058904,-1.1798746977615213,427,100.0,100.0,100.0,90.29401167023173,89.59362280133006,5.285714285714286,37,100.0,0.6,99.82704055993037,6,5.0,P32_derived_Jv_proxy,98.5,98.5,-9.705988329768275,-10.406377198669944,-8.205988329768275,-8.906377198669944,9.705988329768275,10.406377198669944,8.205988329768275,8.906377198669944,427,37,14,413,0.9672131147540983,0.03278688524590164,78.53981633974483,7.0,5.436732856019145,5.285714285714286,5.285714285714286,0.17825353626292278,5.258479319756222,0.04718165626291204,0.03871581407810276,0.00846584218480928,1,1,1,1,1,1,100.0,100.0,0.0,100.0,100.0,81,4.0,4.0,0.0,4.0,4.0,81,1.1910518031006496,1.1910518031006496,0.30006553525167273,0.5,1.924646865952968,81,2.5100355963884238,2.5100355963884238,0.4987034624495328,0.75,3.999276438198266,81,0.8005996334473018,0.8083399756866172,0.09094354034905701,0.6028684794019811,1.0,81,1.0111272453389775,1.0189493802142906,0.3091718189269834,0.5,1.9021458853895916,81,10.442069489889775,9.43841173002704,3.9133447714274685,4.860667714463654,21.893792045548057,81,11.86289753036172,11.86289753036172,0.0,11.86289753036172,11.86289753036172,81,cases/granite_rqd_p32_rot_05.yaml,granite_dense_unfavorable,medium_to_poor,dense,unfavorable,high
granite_dense_unfavorable,43,20,20.5,10.58606774971848,9.974387270839674,12.035984192830183,12.035984192830181,9.708545922482623,10.979542108008134,0.9171059690923296,-0.8775218272358565,-0.03758047988820967,0.9122263648824522,-1.0564420848220486,402,99.92508480555342,99.92508480555342,99.92508480555342,94.95144934301513,94.19097616610553,3.5714285714285716,25,99.92508480555342,0.1,99.99503320866597,1,5.0,P32_derived_Jv_proxy,98.5,98.5,-4.973635462538297,-5.734108639447896,-3.5485506569848724,-4.3090238338944715,4.973635462538297,5.734108639447896,3.5485506569848724,4.3090238338944715,402,25,11,391,0.972636815920398,0.02736318407960199,78.53981633974483,7.0,5.118422969835354,3.5714285714285716,3.5714285714285716,0.1400563499208679,4.978366619914486,0.04193560686020947,0.05296770101455439,-0.011032094154344918,1,1,1,1,1,1,99.92508480555342,99.92508480555342,0.0,99.92508480555342,99.92508480555342,81,4.0,4.0,0.0,4.0,4.0,81,1.2130976823756767,1.2130976823756767,0.2958328547194927,0.5,2.087467072958311,81,2.517843303188694,2.517843303188694,0.5179405250406641,1.03927109453574,4.131224313959436,81,0.7905888054956041,0.7786183429896067,0.11006730644197166,0.5534061106231943,1.0,81,0.9738748458334907,1.00575159650972,0.2531224140316706,0.5,1.5940754817332985,81,10.58606774971848,9.974387270839674,3.651809055959481,5.9071067928529,24.071968385660362,81,12.035984192830183,12.035984192830181,1.7763568394002505e-15,12.035984192830181,12.035984192830181,81,cases/granite_rqd_p32_rot_05.yaml,granite_dense_unfavorable,medium_to_poor,dense,unfavorable,high
